"","x"
"1","陸阻香港獨派議員就職 英籲勿破壞自治信心"
"2","（法新社倫敦7日電）    針對中國大陸有效阻擋2名立法會獨派當選議員就職，英國政府今天呼籲，切勿破壞對香港自治的信心。"
"3","    對於這個過去的殖民地，英國表示，香港的繁榮與穩定仰賴1997年香港回歸大陸前，英國與中國大陸之間協議的「一國兩制」。"
"4","    依照1984年「中英聯合宣言」（JointDeclaration ）闡述的香港回歸條件，香港依據小憲法「基本法」，可享有比中國大陸本土多更多的自由。"
"5","    在提及香港主要立法會時，英國外交部發言人告訴法新社：「對於立法會最近的發展，我們相當關切。」"
"6","    「雖然我們承認中國全國人大常委會解釋基本法，並且在此時決定就此事提出意見的權力，但我們呼籲中國政府與香港特區政府，以及所有香港民選政治人物自制，切勿採取任何會助長憂慮，或破壞『一國兩制』原則信心的行動。」（譯者：中央社許湘欣）"
"7","絕食抗議砍7天假 勞團與警爆衝突"
"8","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"9","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"10","蔡英文總統 新政權起步"
"11","Sponsored"
"12","飯店最髒的地方曝光…太驚人"
"13","第1次進他房間 背著媽媽做…"
"14","童話世界成真～房子好像彩色積木"
"15","昆汀塔倫提諾再拍兩部就退休！"
