"","x"
"1","開美選玩笑 國安局長彭勝竹立院失言"
"2","新任國安局長彭勝竹，今天初次到立法院備詢，卻爆出失言風波，他引用了美國媒體的報導，說「川普或希拉蕊，不管誰當選，一個是開槍自殺、一個是上吊自殺」。雖然事後澄清是開個玩笑，卻也讓民進黨立委為他捏把冷汗。"
"3","10月26日才上任的新任國安局長彭勝竹，首次到立法院國防委員會備詢，立委頻頻追問他，美國大選誰會當選？沒想到彭勝竹卻開了這麼一個玩笑。"
"4","立委（國）江啟臣vs.國安局長彭勝竹：「我套用一句美國人自己講的話，兩個總統是選這兩個總統，一個是用槍自殺一個是上吊自殺，這是美國人自己講的。」此話一出，引來現場笑聲不斷，不過執政黨立委越聽越毛。"
"5","立委（民）蔡適應vs.國安局長彭勝竹：「這個我們國家政府對於，美國總統選舉的立場是什麼，是美國人講的那個話嗎應該不是吧。」"
"6","立委（民）羅致政vs.國安局長彭勝竹：「有些話還是要非常非常的小心，剛有委員問你有關美國總統當選的，可能的一些影響你提到說一位是，你引用美國媒體的說法一位是自殺，一位是上吊自盡一位是拿槍自盡，這個是美國媒體的說法，絕對不是國安局立場對不對，是這也不是我們政府立場對不對，是的而且事實上再仔細找了半天，美國媒體也沒有什麼媒體，特別去講這個東西只是少部份媒體嘛，立委（民）羅致政vs.國安局長彭勝竹，是所以你引用這句話是有問題的，局長提醒局長注意一下，謝謝委員。」就在美國總統大選投票日的前夕，新任國安局長彭勝竹，卻大開兩位候選人的玩笑，讓民進黨立委，捏把冷汗。(民視新聞劉朝陽、胡景順台北報導)"
"7","絕食抗議砍7天假 勞團與警爆衝突"
"8","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"9","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"10","蔡英文總統 新政權起步"
"11","Sponsored"
"12","飯店最髒的地方曝光…太驚人"
"13","第1次進他房間 背著媽媽做…"
"14","童話世界成真～房子好像彩色積木"
"15","昆汀塔倫提諾再拍兩部就退休！"
