"","x"
"1","美國大選將在8日投票。在選前一天，民主與共和兩黨總統候選人希拉蕊(Hillary Clinton)和川普(Donald Trump)7日全力在幾個搖擺州進行最後一天的衝刺。"
"2","在民主黨方面，現任總統歐巴馬在密西根州籲請選民投票給希拉蕊，以接任他的總統職位。而前副總統高爾(Al Gore)則在科羅拉多州告訴選民，世界的未來押注在8日的美國總統大選。"
"3","在卸任後致力於環保議題的高爾7日在科羅拉多州波爾德(Boulder)告訴支持者，「這是一場攸關氣候的選舉」。"
"4","高爾並未直接提到共和黨候選人川普，但他說，希拉蕊能夠繼續國際正在進行的減少碳排放的努力，但川普會棄之不顧。"
"5","高爾曾在2000年代表民主黨參選，但最後敗給共和黨候選人小布希(George W. Bush)。此後就致力於環保工作，是國際知名度最高的氣候變遷運動人士之一。"
"6","<U+00A0>"
"7","America decides - first votes cast"
"8","America decides - first votes cast"
"9","Philippines drugs crackdown strains packed jails"
"10","NYC shows off anti-vote fraud technology"
"11","Sponsored"
"12","遏止全球暖化 巴黎協定生效"
"13","全球野生動物 40年消失六成"
"14","朴槿惠閨密崔順實 干政遭拘押"
"15","民主運動領袖 翁山蘇姬"
"16","Sponsored"
"17","飯店最髒的地方曝光…太驚人"
"18","第1次進他房間 背著媽媽做…"
"19","童話世界成真～房子好像彩色積木"
"20","昆汀塔倫提諾再拍兩部就退休！"
