"","x"
"1","紐約地鐵月台吵架 婦人被推落軌遭撞死"
"2","美國紐約一個地鐵站發生乘客被人推落軌道，遭列車撞死的意外。"
"3","案發在時報廣場下方的地鐵站，兩名婦人發生口角，一個人推了對方一把，被推的婦人摔落軌道，被剛好進站的列車撞死。目擊者馬上揮手叫警察，兇手被捕。"
"4","地鐵站推人致死的意外，在紐約非常少見，不過過去幾年來，也發生過幾次，2012年發生的兩起與2014年的一起，受害人都是亞裔。（圖片取材自網路）"
"5","America decides - first votes cast"
"6","America decides - first votes cast"
"7","Philippines drugs crackdown strains packed jails"
"8","NYC shows off anti-vote fraud technology"
"9","Sponsored"
"10","遏止全球暖化 巴黎協定生效"
"11","全球野生動物 40年消失六成"
"12","朴槿惠閨密崔順實 干政遭拘押"
"13","民主運動領袖 翁山蘇姬"
"14","Sponsored"
"15","飯店最髒的地方曝光…太驚人"
"16","第1次進他房間 背著媽媽做…"
"17","童話世界成真～房子好像彩色積木"
"18","昆汀塔倫提諾再拍兩部就退休！"
