"","x"
"1","（中央社記者鄭崇生華盛頓7日專電）美國總統歐巴馬夫婦今晚和前總統比爾．柯林頓齊聚費城，為民主黨總統候選人希拉蕊．柯林頓站台，第一夫人蜜雪兒再度展現動人的演說能力，呼籲美國人民再創歷史。"
"2","    民主黨選在費城的獨立紀念館廣場前、舉辦選前之夜，最先出場、介紹父親上台的雀兒喜．柯林頓說，她極以身為希拉蕊．柯林頓的女兒為榮；而為妻子助講的比爾．柯林頓則提到，選在這個獨立宣言與憲法起草的地方，美國從這裡而起，他呼籲明天大家一起投給他的妻子希拉蕊．柯林頓，再寫歷史。"
"3","    蜜雪兒則說，美國人民明天有機會再度創造歷史，打破性別的玻璃天花板，讓一位母親，成為白宮主人，她確信希拉蕊．柯林頓最有資格成為白宮主人，也會是最好的領導人。"
"4","    蜜雪兒指出，「她是個可以信任的領導人，她對（總統的）這份工作認真對待」；她也柔性訴求希拉蕊．柯林頓是「了不起的母親，充滿關愛與忠誠的妻子」，她可以讓分裂的美國團結起來，而且她從不放棄。"
"5","    蜜雪兒呼籲民眾要去投票，因為不投票，或打算採取抗議投票的方式表達不滿，「那她的對手就會當選了，就這樣」、「你的一票可以表達美國就是一個偉大的國家」。"
"6","    緊接著上台的歐巴馬也溫情訴求說，2008年，「你們給了我這個有好笑名字的瘦子機會，讓我有機會為國家服務」，證明「追求改變，我們可以、我們也做到了」，而下一棒只有交給希拉蕊．柯林頓，像她這樣經歷各種考驗、極富從政經驗的人，他這些年來帶領美國從金融危機中走來的復甦成績，才得以延續。"
"7","    他說，不論從外交、從美國經濟來看，川普都是個不具備條件且不適任總統的人，選民可以有一個傑出的選擇，那就是希拉蕊．柯林頓。1051108"
"8","絕食抗議砍7天假 勞團與警爆衝突"
"9","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"10","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"11","蔡英文總統 新政權起步"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
