"","x"
"1","美國總統大選將於11月8日登場，聽過口沒遮攔的川普、做過第一夫人的希拉蕊，卻始終搞不懂美國總統怎麼選嗎？《CNN》在選前為外國人製作了一份「美國大選指南」，風傳媒從中整理了台灣人關心的7個問題，帶你看懂美國大選的門道。"
"2","2016的總統大選在美國歷史上寫下許多第一次，例如，美國第一次有女性距離總統大位僅一步之遙，讓希拉蕊獲得許多女性支持。同時還有「電郵門」纏身，讓希拉蕊成為美國第一位，一直到了大選前3天還在接受FBI調查的總統候選人，不過FBI已在6日還希拉蕊清白，讓電郵風波終於落幕。"
"3","另一方面，川普也是美國第一個「零政治經驗」商人選總統的案例，更是第一位「誇口自己意圖性騷擾女性」的總統候選人，讓其他政治家「望塵莫及」。《CNN》還指出，本屆大選的兩位主流政黨候選人，更是有史以來「最受鄙視」、「最惹人厭」也「最不受信任」的候選人。"
"4","【延伸閱讀】「玻璃天花板被撞出了最大的一道裂縫」美國民主黨正式提名希拉蕊參選總統"
"5","【延伸閱讀】不是希拉蕊！美國史上首位女性總統候選人：爭取性別平等與自由戀愛的伍德哈爾"
"6","雖然美國2016總統大選正式投票日期是11月8日（週二），但各州早已在9月就開放選民透過「郵寄選票」或「現場投票」方式提前投票。選在平日投票與美國過去的農業社會有關，當時人們在周日上教堂、周三上市場，周二舉行投票可以給農夫足夠時間到達投票所，投票後回家把商品送到市場販賣。訂在11月則是方便人們在秋收後投票，還能避免冬季交通不便。"
"7","【延伸閱讀】為什麼美國大選總在11月的星期二？這是171年前的歷史陳跡..."
"8","英國的選戰季節只要4個月、加拿大2到2.5個月、日本更是只消12天，為什麼美國選舉時程這麼長？原因是美國兩大主要政黨「民主黨」與「共和黨」，從要先在全國50個州舉行為期5個月的「黨內初選」。而候選人在初選以前，還會先花一年左右預先為選戰做準備。"
"9","【延伸閱讀】民主黨全國大會》希拉蕊發表歷史性演說：美國再度面臨抉擇的關鍵時刻"
"10","【延伸閱讀】美國總統大選》係金ㄟ！共和黨正式提名川普 希拉蕊繃緊神經"
"11","美國有獨特的「選舉人團」制度，選民在投票時，選擇的實際上是支持不同總統候選人的「選舉人」，獲較多選民支持的選舉人即成為獲勝者，獲勝者再於12月19日依照原先承諾的政治立場投給總統候選人。本次選舉共要選出代表50個州和首都華盛頓的538席選舉人，獲得超過半數選舉人票（至少270張）的總統才算勝出。"
"12","每個州因為人口數的不同，「選舉人」席次數量也不同。而美國實行「贏者全拿」辦法，舉例而言，如果川普在德州得到多數選民支持，則德州「所有的」選舉人票都歸川普所有。正是因為這樣的制度，讓總統候選人高爾（Al Gore）在2000年的大選，即使獲得較多的普選票，仍輸給對手布希（George W. Bush）。"
"13","【延伸閱讀】美國總統大選Q&A》10個問題搞懂「選舉人團」制度！"
"14","美國歷史上只有兩次平手狀況，平手時眾議院、參議院將分別決定總統、副總統人選。如果今年兩位候選人都得到269個選舉人席次，又如果共和黨如預期保住眾議院、民主黨贏回參議院，我們很可能看到由共和黨總統候選人川普，以及民主黨副總統候選人凱因（Tim Kaine）攜手組成的美國政府。"
"15","<U+00A0>"
"16","投票當天，美國人民還將選出435席眾議員，改選1/3的參議員（共34席），還有12個州也將選出新任州長。《CNN》預測，今年大選後共和黨應該會持續主導眾議院，但民主黨只要再多得到幾個參議院席次，就能讓現在參議院由共和黨做莊的局勢翻盤。除此之外，另有8個州要投票決定大麻合法化，以及4州進行提高最低薪資的投票。"
"17","【延伸閱讀】不只選總統、不只希拉蕊戰川普！15個你不知道的2016美國大選亮點"
"18","根據過去經驗，如果大選有一方獲得壓倒性勝利，將會在美東時間8日晚間8點（台灣時間9日上午9點）自行宣布當選。即使情勢沒這麼快明朗，大概也能在美東時間的午夜左右（台灣時間9日下午1點）見分曉，不過從1964年開始，連續13次都是贏得俄亥俄州的總統候選人都贏得了總統大選，所以從俄州的勝負或許能提前看出誰是美國下一任總統。這位新選出的白宮主人也將於明年1月20日就職，開啟美國的新時代。"
"19","【延伸閱讀】口水戰好混亂？川普、希拉蕊政策立場一次搞懂！<U+00A0>"
"20","NBA 精采直擊"
"21","影劇娛樂集錦"
"22","不滿查稅！　拍扁麵包師往陳菊官邸抗議"
"23","16首世大運主題曲角逐 奪冠獎金30萬"
"24","Sponsored"
"25","飯店最髒的地方曝光…太驚人"
"26","第1次進他房間 背著媽媽做…"
"27","童話世界成真～房子好像彩色積木"
"28","昆汀塔倫提諾再拍兩部就退休！"
