"","x"
"1","美國總統大選將在台北時間今晚（11月8日）開始投票，而兩黨候選人川普及希拉蕊，也不約而同將重點擺在搖擺州，努力催票，從佛州到密西根，川普從南到北1天跑5州造勢，雖然不像希拉蕊的場子星光熠熠，但他也憑藉個人魅力吸引滿場選民。"
"2","共和黨總統候選人川普：「這是我們競選活動的最後一天了，難以置信吧？」"
"3","美國總統大選將在當地時間8日登場，而選前最後一天，共和黨總統候選人川普，也抓緊時間搭著自家專機走透透。"
"4","佛州、北卡羅萊納、賓州、新罕布夏以及密西根州，從南到北，川普火力全開地催票，而這5個州的選舉人票加起來共有84張，約佔270張獲勝門檻的30%，絕對是坐上總統寶座的關鍵。"
"5","共和黨總統候選人川普：「我們要把白宮奪回來我們要拿回來，佛羅里達是我第2個家這是我超愛的州，順道一提等到選戰結束，希拉蕊就再也不會回到佛州，她和佛州毫不相干。」"
"6","從一個地產大亨和實境秀明星，再到共和黨的總統候選人，川普一路走來跌破不少人眼鏡，卻也靠著高人氣過關斬將到最後。"
"7","前進白宮只剩最後一哩路，不僅川普忙拼場，他的兒女和前紐約市長朱利安尼，還分別在各地跑行程，同樣力挺川普的前阿拉斯加州長培琳，更在俄亥俄助陣時、批評希拉蕊根本就是個假女權主義者。"
"8","前阿拉斯加州長培琳：「她（希拉蕊）打著「女孩牌」，我猜她想著「投給我只因我是個女生」。」"
"9","在聯邦調查局FBI維持不起訴決定，洗清了電郵門疑雲後，希拉蕊的民調開始回升，也讓選情益發膠著，因此川普不斷呼籲選民，當天一定要出門投下手中重要的一票，因為這可比脫歐更要緊。"
"10","共和黨總統候選人川普：「這（大選）將會是個精采的一天，（重要性）會被稱做是脫歐加三級。」"
"11","川普支持者哈里斯：「我們是個正處於分水嶺的國家，我想他（川普）就是那位，會把我們帶到正確方向的人。」"
"12","根據CNN的最新全國民調，目前希拉蕊以4個百分點領先川普的42%，而選前的繁忙行程，能不能就此吸來更高的支持率，還是未知數。究竟白宮寶座鹿死誰手、台北時間9號就會揭曉。"
"13","共和黨總統候選人川普：「祝各位好運去投票吧，我已經做好份內的事我想我努力過了。」（民視新聞綜合報導）"
"14","絕食抗議砍7天假 勞團與警爆衝突"
"15","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"16","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"17","蔡英文總統 新政權起步"
"18","Sponsored"
"19","飯店最髒的地方曝光…太驚人"
"20","第1次進他房間 背著媽媽做…"
"21","童話世界成真～房子好像彩色積木"
"22","昆汀塔倫提諾再拍兩部就退休！"
