"","x"
"1","（中央社台北 8日電）受到大陸需求暢旺帶動，聯成10月營收來到新台幣41.87億元， 較上月增加近 2成，較去年同期增加約26.5%，創下去年6月以來新高，單月營收再度站上40億元以上。"
"2","    由於大陸對可塑劑（DOP）需求持續增加，聯成不看淡本季營運。"
"3","    近幾月來，DOP價格持續向上升，現貨價從 8月每噸約800美元，到 9月上升到900美元，10月時DOP價格來到每噸 950美元價位，目前價格也仍在950美元以上。"
"4","    聯成DOP年產能達177萬噸，是兩岸間產能最大的DOP生產廠商，聯成同時在泰州建置了年產能45萬噸的PVC（聚氯乙烯）產能，與DOP原料整合供應下游廠商。"
"5","    由於近年大陸因重視環保，將污染嚴重的電石法PVC生產線陸續關閉，帶動台廠以乙烯法製程生產的PVC需求，讓聯成業績跟著水漲船高。1051108"
"6","絕食抗議砍7天假 勞團與警爆衝突"
"7","防美大選衝擊　國安基金5千億待命　"
"8","低溫宅配車廂溫度達35度 食安疑慮！"
"9","抗議刪7天假 勞團立院前絕食逾70小時"
"10","Sponsored"
"11","飯店最髒的地方曝光…太驚人"
"12","第1次進他房間 背著媽媽做…"
"13","童話世界成真～房子好像彩色積木"
"14","昆汀塔倫提諾再拍兩部就退休！"
