"","x"
"1","隨著F-35型戰鬥機進入美軍多個兵種服役，美軍第五代空中作戰模式開始起步。但是軍方說，全面推進第五代空戰模式所需的作戰網路還有待建立。"
"2","美國空軍和海軍陸戰隊的四名第5代戰鬥機飛行員7日在美國國會介紹了駕駛第四代戰機和第五代戰鬥機的親身經歷。他們把這次的升級比喻為「從普通手機變成智慧型手機」的跳躍。"
"3",""
"4","海軍陸戰隊中校戴維·博克是一名F-35B飛行員（圖/黎堡攝）"
"5","海軍陸戰隊F-35B型戰鬥機飛行員戴維·博克中校（Lt. Col David Berke）解釋，第五代戰機不止是戰鬥機，而是一個能夠採集和處理相關作戰數據、將關鍵信息聯網並對信息做雙向處理和運用的作戰平台。他說，第五代戰機的真正價值並不在於它高超的飛行參數本身，而在於它處理信息、參與聯合作戰的能力。"
"6",""
"7","空軍中校斯考特·岡恩是一名F-35A飛行員（圖/黎堡攝）"
"8","空軍F-35A型戰鬥機飛行員斯考特·岡恩中校(Lt. Col Scott Gunn)說，F-35戰機進入美軍服役，代表美軍走入未來二、三十年空戰模式的門檻，不過目前的作戰網路不夠發達，第五代戰機的真正價值還不能充分表現出來，「就好像把今天的智慧型手機拿到1990年代撥接上網的時代使用。」"
"9","美國空軍8月2日宣布了第一個獲得初始作戰資質的第五代F-35A戰機飛行隊，稱會努力在明年年底前將F-35A作戰飛行隊派駐到太平洋和歐洲戰區，應對那裡越來越大的安全挑戰。"
"10","海軍陸戰隊已經在2015年宣布了第一個獲得初始作戰資質的F-35B戰機飛行隊，預計在2017年初將這支分隊部署到日本美軍基地。"
"11","美國軍方稱正積極推進作戰網路基礎設施的建設，最大程度地發揮第五代戰機的聯網作戰潛力。"
"12","<U+00A0>"
"13","＊本文原刊自美國之音，原標題為《美軍第5代空戰模式起步》。"
"14","NBA 精采直擊"
"15","影劇娛樂集錦"
"16","不滿查稅！　拍扁麵包師往陳菊官邸抗議"
"17","16首世大運主題曲角逐 奪冠獎金30萬"
"18","Sponsored"
"19","飯店最髒的地方曝光…太驚人"
"20","第1次進他房間 背著媽媽做…"
"21","童話世界成真～房子好像彩色積木"
"22","昆汀塔倫提諾再拍兩部就退休！"
