"","x"
"1","國際中心／綜合報導"
"2","WiFi的名稱雖然可以依照使用者的喜好自行設定，但是有些玩笑最好還是不要亂開！法國有一名18歲的男子將家中WiFi的名稱設定為「Daesh 21」，然後他就被判刑3個月了。"
"3","「Daesh」其實是「Dawlat al-Islamiyah f'al-Iraq wa al-Sham」的簡稱，也就是所謂的「伊拉克與黎凡特伊斯蘭國」，簡單說就是伊斯蘭國、伊拉克。"
"4",""
"5","▲有人發現奇怪的WiFi名稱，並透過訊號強度確認位置後通報警方。（示意圖）"
"6","據《arstechnica》報導，這名法國男子的鄰居有一天突然發現「Daesh 21」這個WiFi名稱，於是他開始詢問附近住戶，並且透過智慧型裝置探查信號來源，確定位置後他立即通報警方，警方趕到場後隨即將該名男子壓制逮捕，扣留、搜查該男子的手機、電腦、信件、Twitter等，連Instagram都不放過，並將他起訴。"
"7","法官解釋「Daesh 21」的意思是「伊斯蘭國的第21個省份」，認為該男子有讚美恐怖主義的意味。而法國在2014年增訂新法，認定讚美恐怖主義屬於犯罪行為，原法官僅判罰他需做100個小時的社區服務，但該男不服，最後法院怒判他3個月徒刑，他也只好乖乖的將他的WiFi名稱改為「Roudoudou 21」，一種法國的糖果。"
"8",""
"9","▲澳洲也有因WiFi名稱造成飛機延誤的問題。（示意圖／翻攝自chang11574's YouTube）"
"10","事實上，因為WiFi名稱造成的恐慌不只一件。今年5月時，一名搭乘澳洲航空飛機的乘客發現有一個WiFi名稱叫做「Mobile Detonation Device」（行動爆炸裝置），她立即通報空服員，最後造成飛機延誤至少2個小時，並有超過40名旅客決定改搭其他班機。（整理：實習編輯黃朝郁）"
"11","《網友觀點》Yahoo奇摩新聞歡迎您投稿！對於這個社會大小事有話想說？歡迎各界好手來發聲！用文字表達你的觀點。投稿去---->http://goo.gl/iRPx1B"
"12","★更多相關新聞"
"13","爸爸姓操 浙江夫妻為兒取名鬧離婚網路暱稱別亂取 大陸新規緊盯給方便當隨便！網購不取貨會被告到死！台北車站稱「北車」網友激辯"
"14","扁開罵已恢復健康？保外就醫再獲展延"
"15","「腰腿比」測肥胖  超過1.8得小心"
"16","落實醫療分級！  大醫院「部分負擔」漲價"
"17","【健康賺得到】糖尿病"
"18","Sponsored"
"19","飯店最髒的地方曝光…太驚人"
"20","第1次進他房間 背著媽媽做…"
"21","童話世界成真～房子好像彩色積木"
"22","昆汀塔倫提諾再拍兩部就退休！"
