"","x"
"1","美國大選選情異常緊湊，不少賭徒均希望趁機會贏大錢，令本屆大選有望成為歷來投注額最高的政治賭盤。英國博彩網站 Betfair 指出，「誰是下任美國總統」賭盤截至 6 日，已收到 1.3 億美元投注額，遠超上屆大選的 5000 萬美元，預料會打破 6 月英國脫歐公投的 1.59 億美元。"
"2","香港《文匯報》援引路透社報導，另一英國博彩公司立博則指，本屆大選早於 4 年前便開盤，迄今有 500 萬英鎊注碼，較上屆大選增加最少一倍。愛爾蘭博彩網站 Paddy Power 則指，體育賽事仍然是賭盤主流，但本屆美國大選的投注額已有 438 萬美元，有望成為今年 10 大最高投注額賭盤之一。"
"3","由紐西蘭惠靈頓大學和美國政治諮詢公司 Aristotle International 共同成立的政治博彩網站 PredictIt，其 5 個最多投注者參與的賭盤，都與美國總統選舉有關。<U+00A0>"
"4","根據各家賭盤預測，希拉蕊有高 8 成的贏面。PredictIt：希拉蕊 (81%)、川普 (20%)。艾奧瓦電子市場：希拉蕊 (71%)、川普 (28%)。Betfair：希拉蕊 (83%)、川普 (18%)。立博：希拉蕊 (83%)、川普 (22%)。Paddy Power：希拉蕊 (83%)、川普 (18%)<U+00A0>"
"5","<U+00A0>"
"6","America decides - first votes cast"
"7","America decides - first votes cast"
"8","Philippines drugs crackdown strains packed jails"
"9","NYC shows off anti-vote fraud technology"
"10","Sponsored"
"11","遏止全球暖化 巴黎協定生效"
"12","全球野生動物 40年消失六成"
"13","朴槿惠閨密崔順實 干政遭拘押"
"14","民主運動領袖 翁山蘇姬"
"15","Sponsored"
"16","飯店最髒的地方曝光…太驚人"
"17","第1次進他房間 背著媽媽做…"
"18","童話世界成真～房子好像彩色積木"
"19","昆汀塔倫提諾再拍兩部就退休！"
