"","x"
"1","（中央社記者尹俊傑北京8日電）中國大陸國務院總理李克強7日在聖彼得堡會晤俄羅斯總理麥維德夫時說，中俄要進一步發揮互補，協助經濟轉型升級，雙方可深化民用核能、航空製造及鐵路等基礎建設合作。"
"2","    中新社報導，李克強當地時間7日下午在聖彼得堡康斯坦丁宮與麥維德夫（Dmitry Medvedev）共同主持中俄總理第21次定期會晤。"
"3","    李克強表示，中俄互為最大鄰國和全面戰略協作夥伴，兩國關係持續穩定健康發展。大陸願與俄羅斯共同努力，加強銜接「一帶一路」倡議和歐亞經濟聯盟，提升中俄關係與合作水準。"
"4","    他說，當前全球經濟復甦乏力，中俄應進一步發揮互補優勢，協助各自發展振興和經濟轉型升級。大陸願與俄羅斯深化民用核能、航空製造及鐵路等基礎建設合作，並加強中小企業、金融、農業、科技、教育等合作。"
"5","    麥維德夫表示，俄羅斯珍視俄中友好合作，在積極推展油氣、民用核能合作的同時，雙方可推動中小企業創新合作及深化金融合作，並加強機電、農業、科技、航空、高鐵等領域合作。"
"6","    澎湃新聞報導，中國現代國際關係研究院俄羅斯研究所所長丁曉星指出，李克強這次訪俄的核心是推動中俄全面務實合作，油氣、電力、核能等能源合作是重點，導航系統、航太等科技合作是未來方向之一。"
"7","    除了麥維德夫，對俄進行正式訪問的李克強還將會見俄羅斯總統蒲亭。1051108"
"8","絕食抗議砍7天假 勞團與警爆衝突"
"9","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"10","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"11","蔡英文總統 新政權起步"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
