"","x"
"1","法國勵志片玩命光頭 生病孩子笑著看 (圖)"
"2","法國勵志片「玩命光頭」，由艾都瓦布呂維耶執導，劇本由艾都瓦與法國喜劇演員凱夫亞當斯、演員格雷戈里布特布爾等4個人一起創作，完成這部「生病的孩子也能笑著看」的電影。（原創娛樂提供）中央社記者鄭景雯傳真　105年11月8日"
"3","America decides - first votes cast"
"4","America decides - first votes cast"
"5","Philippines drugs crackdown strains packed jails"
"6","NYC shows off anti-vote fraud technology"
"7","Sponsored"
"8","遏止全球暖化 巴黎協定生效"
"9","全球野生動物 40年消失六成"
"10","朴槿惠閨密崔順實 干政遭拘押"
"11","民主運動領袖 翁山蘇姬"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
