"","x"
"1","陸客銳減觀光苦哈哈　新北機加酒遊程吸客"
"2","　　為吸引陸客自由行來台，新北市政府今(7)日宣布與長榮航空、中國廉價航空業者春秋、吉祥航空攜手，推出「機加酒」自由行專案，前7,000名購買的旅客，加贈價值超過1萬2,000元旅遊手冊。新北市副市長侯友宜將親自率團到上海宣傳，盼降低今(2016)年以來中國觀光團大幅縮減，對觀光業帶來的衝擊。"
"3","	　　據交通部觀光局統計，今年截至9月底為止，中國觀光客入境總人數較去(2015)年同期減少近5成，尤其團客下滑嚴重。而新北市各風景區以野柳受衝擊最大，團客銳減近半，淡水、九份地區影響則較少。"
"4","	　　新北市政府攜手兩岸三家航空業者，推出的3大魅力主題遊程，包含「健康運動遨遊」、「幸福手作體驗」及「絕美經典必訪」路線。除過去陸客喜歡造訪的水金九、平溪等景點，今年主推透過運動樂活感受新北，搭配三峽、鶯歌極致工藝及石碇、坪林的茶農手作，讓陸客深度走訪新北市。"
"5","	　　新北市觀光旅遊局長陳國君表示，中國自由行旅客訪台多偏好提供導覽，且機動性高的包車旅遊，或一日遊行程，且多追隨網路紅人或旅遊節目介紹，也常使用行動裝置查詢景點及美食。"
"6","	　　為挽救陸客縮減造成的衝擊，新北市政府6月赴韓國行銷、8月隨交通部觀光局到泰國和印尼宣傳，11月11日至13日將參加「2016中國(上海)國際旅遊交易會」，推薦陸客用新的方式體驗、走訪台灣，明(2017)年再開發東南亞潛力市場。"
"7","	　　這次赴中國宣傳，特別整合大台北地區觀光景點、旅宿、交通及伴手禮等超過35家業者，專為中國自由行遊客打造超值旅遊手冊，贈送給前7,000名購買機加酒的消費者。旅遊手冊不僅送「一卡通」，方便租借youbike、搭乘公車及捷運等，台灣大車隊也提供300元抵用券，昇恆昌送出1,000元購物金折抵，家樂福推出陸客喜愛商品折價優惠，以吸引更多陸客到新北市觀光。"
"8","【#星聞】《魅影歌手》製作發表會 金希澈帶面具出席自誇宇宙大明星"
"9","【美食特蒐】總統級的廣式臘肉! 甘蔗燻香不死鹹"
"10","【美食特蒐】堅持安心手工漢堡! 自製麵包皮和肉排"
"11","【美食特蒐】豆香炊煙半個世紀! 台東唯一手作豆皮"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
