"","x"
"1","英計畫再關閉五十六處營區"
"2","英國國防部宣布，為了節省開支，將再關閉五十六處營區。不少人反對。"
"3","今年初，英國國防部就宣布將關閉三十五處營區。依照最新公布的計畫，將再關掉倫敦、喬治堡等地的五十六處營區。"
"4","營區關閉以後將賣掉或是租掉，替國防部省下大筆維護費用，還可以賺租金。"
"5","英國國防部長「法倫」說，關掉老營區是要建立一支現代的英軍。今後，營區只供特定部隊使用。「亞得碩特」營區專供步兵使用、「卡特利克」是機械化部隊的，「寇切斯特」則專屬空降部隊。倫敦、愛丁堡等大都市只駐紮一步兵營級單位。"
"6","不過，不少現役軍人擔心，不斷關閉營區會讓大家以為政府不再重視國防，打擊士氣。"
"7","(圖片取自網路)"
"8","絕食抗議砍7天假 勞團與警爆衝突"
"9","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"10","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"11","蔡英文總統 新政權起步"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
