"","x"
"1","新頭殼newtalk"
"2",">"
"3","美國公民8日將進入投票所，選舉總統、1/3的參議員、435位眾議員及12州的州長。順利的話，結果在台灣時間9日中午左右即可揭曉。此次大選的焦點除了究竟希拉蕊(Hillary Clinton)與川普(Donald J. Trump)誰能入主白宮之外，還有俄羅斯總統普亭(Vladimir Putin)究竟扮演了什麼角色。儘管俄方矢口否認，美國國安專家大多認為，普亭確實介入此次美國大選，在選舉結束之後，俄國將持續干擾美國政治。"
"4","美國全國廣播公司新聞網(NBC News)引述曾經擔任情治官員的俄羅斯問題專家希爾(Fiona Hill)的見解，指出民主黨全國委員會的電子郵件被駭客竊取，是普亭政權介入外國選舉的教科書範例。"
"5","曾經出書探討普亭崛起過程的希爾指出，普亭在烏克蘭、蒙內特哥羅、喬治亞等國選戰進行到最激烈的最後階段時，均曾出手介入，祭出宣傳攻勢並採取軍事行動。這次美國大選，有心人每天選擇性地拿竊取的電子郵件爆料，俄國航母又開往敘利亞，完全符合普亭在外國大選前夕會使用的手段。"
"6","希爾指出，網路是普亭使用的工具之一。維基揭密(WikiLeaks)創辦人亞桑傑(Julian Assange)接受《今日俄羅斯》(Russia Today)專訪時，透露出來的格外親俄立場、大選期間社群媒體上不斷冒出來的假消息，以及種種宣傳攻勢，在在顯示這次大選被嚴重介入。"
"7","曾經在美國國務院與國土安全部擔任資深戰略通訊官員的韋倫(Moira Whelan)指出，俄羅斯會試圖藉由網路與社群媒體操縱外國選舉，要加以制止並不容易，需要政府跨部會出手即時回應，而媒體與社群媒體公司也因言論自由的緣故，不太敢處理相關的假消息。他指出，政府所能做的，就是幫助私部門與大眾做好準備，防範各種網路攻擊。"
"8","最近1次透過維基揭密釋出的電子郵件內容，讓美國情治官員認為，俄羅斯總統普亭不僅想要讓這次大選的正當性降低，還想造成1個局面：無論哪位入主白宮，其行政效能都會打折。"
"9","1位資深情治官員提醒，切莫以為俄羅斯人的活動僅止於這次大選，或只為了幫助川普；他們想要的是擴張俄羅斯的國力，以及在全世界的影響力。"
"10","曾經在美國國防部與國務院服務過的資深俄羅斯問題專家法卡斯(Evelyn Farkas)指出，俄羅斯這些可疑的動作，顯示普亭正在想辦法使自己與下屆美國總統談判時站在更有利的地位。他越能顯示自己可以讓美國與美國人不好過，就越認為自己可以處於更有利的談判地位。"
"11","美國官員認為，普亭正在利用這些駭客竊取的大選資料，來掌握兩黨候選人以及他們的小圈子，俟時機成熟時將讓他們丟臉、逼他們妥協就範。"
"12","目前外洩的電子郵件大多是針對希拉蕊而來，共和黨陣營還沒有受到打擊。然而川普一旦當選，而俄羅斯決定要拿出對付共和黨政權的槓桿時，情況可能就會完全不同了。"
"13","美國資深情治官員指出，俄羅斯人很明顯還在蒐集各種材料，他們會怎樣運用這些材料呢？"
"14","<U+00A0>"
"15","America decides - first votes cast"
"16","America decides - first votes cast"
"17","Philippines drugs crackdown strains packed jails"
"18","NYC shows off anti-vote fraud technology"
"19","Sponsored"
"20","遏止全球暖化 巴黎協定生效"
"21","全球野生動物 40年消失六成"
"22","朴槿惠閨密崔順實 干政遭拘押"
"23","民主運動領袖 翁山蘇姬"
"24","Sponsored"
"25","飯店最髒的地方曝光…太驚人"
"26","第1次進他房間 背著媽媽做…"
"27","童話世界成真～房子好像彩色積木"
"28","昆汀塔倫提諾再拍兩部就退休！"
