"","x"
"1","（中央社記者潘智義台北 8日電）美國民主黨總統候選人希拉蕊．柯林頓的電郵門事件落幕，美股道瓊工業指數大漲371.32點，台股前 1交易日雖已領先反應消息大漲，但今天能否續漲，仍受到投資人的期待。"
"2","    在美國總統大選前夕，由於聯邦調查局 （FBI）排除對市場偏好的候選人希拉蕊．柯林頓加以起訴可能性，使希拉蕊聲勢大振，從而推升全球股市大幅上揚。"
"3","    台股前1交易日收在9189.84點，大漲121.69點，成交值新台幣553.18億元。"
"4","    除即將舉行的美國總統大選影響國際股市，牽動台股行情，本週陸續展開的法說會也是焦點，包括今天登場的聯詠、鎧勝-KY、力旺，9日的仁寶、立積，10日的法說會則有和碩、廣達、新普、璟德、耕興、群聯、憶聲、鑫創；其中不乏蘋果供應鏈大廠，受到市場矚目。1051108"
"5","America decides - first votes cast"
"6","America decides - first votes cast"
"7","Philippines drugs crackdown strains packed jails"
"8","NYC shows off anti-vote fraud technology"
"9","Sponsored"
"10","遏止全球暖化 巴黎協定生效"
"11","全球野生動物 40年消失六成"
"12","朴槿惠閨密崔順實 干政遭拘押"
"13","民主運動領袖 翁山蘇姬"
"14","Sponsored"
"15","飯店最髒的地方曝光…太驚人"
"16","第1次進他房間 背著媽媽做…"
"17","童話世界成真～房子好像彩色積木"
"18","昆汀塔倫提諾再拍兩部就退休！"
