"","x"
"1","共和黨總統候選人川普宣稱，他是修復分裂美國的最後機會；民主黨總統候選人希拉蕊．柯林頓(Hillary Clinton)則說，「審判的時刻」已經來臨。"
"2","川普和希拉蕊昨(7)日風塵僕僕，於美國各地奔波，為總統選戰進行最後衝刺，和瘋狂的掃街拜票。兩人也在最後的造勢催票中，以迴異的方式號召各自的支持者。"
"3","川普(Donald Trump)在愛荷華州表示，他是修正移民和貿易政策的最後機會。在明尼亞波利郊區，川普說，落腳當地的索馬利亞難民是「災難」。"
"4","希拉蕊則在各造勢場的開場和結束時，以不同方式詮釋「美哉美國(America the Beautiful)」這首歌。首先是在費城的一處黑人教堂；再來是當鄉村民謠唱將詹姆斯泰勒(James Taylor)在新罕布什爾州催票造勢中唱出這首歌時，群眾手牽著手，跟著旋律一起歌唱。"
"5","希拉蕊與穆斯林可汗(Khizr Khan)一起走上舞台。可汗的兒子是一名遭殺害的美國大兵。他7月時曾在民主黨全國代表大會批評川普，指責他禁止穆斯林進入美國的談話。希拉蕊說：「在這場充斥著各種針對移民、穆斯林等的醜陋猜疑、言語侮辱和攻訐的選戰中，我認為可汗先生提醒了一件事，我們都是美國人。」"
"6","絕食抗議砍7天假 勞團與警爆衝突"
"7","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"8","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"9","蔡英文總統 新政權起步"
"10","Sponsored"
"11","飯店最髒的地方曝光…太驚人"
"12","第1次進他房間 背著媽媽做…"
"13","童話世界成真～房子好像彩色積木"
"14","昆汀塔倫提諾再拍兩部就退休！"
