"","x"
"1","美國總統大選投票日前夕，經常作驚人之舉的川普，強打安心牌，他在一天之內，兩度造訪搖擺州北卡羅萊納，他把當前的美國說得很慘，他說，這個債台高築、而且犯罪充斥的國家，只有他有解藥。（夏明珠報導）"
"2","川普跟北卡的選民說，他們只剩半天的時間下決定，要不要讓他們夢想的國家、夢寐以求的生活實現，關鍵就在明天。"
"3","川普認為自己勝利在望，說他要是落選，將把這次出馬視為他畢生最大的生命浪費。"
"4","投票前夕，川普陣營強打安心牌，試圖說服大家，川普是一個值得信任的領袖，歐巴馬說，美國不能把核子武器交託給一個連在自己的推特都可以闖禍的人，川普的競選總幹事反批希拉蕊才不可信任，宣稱希拉蕊曾經讓女傭幫她影印機密檔案。"
"5","國際輿論還是傾向支持希拉蕊，聯合國人權事務高級專員說川普對全世界都是個威脅，法國總統歐蘭德甚至說川普讓他想吐。"
"6","一家全球民調機構對130個國家的十萬人進行的調查，問他們假設有投票權會投誰，百分之52的人選希拉蕊，只有百分之14說會選川普。（圖片取材自網路）"
"7","<U+00A0>"
"8","America decides - first votes cast"
"9","America decides - first votes cast"
"10","Philippines drugs crackdown strains packed jails"
"11","NYC shows off anti-vote fraud technology"
"12","Sponsored"
"13","遏止全球暖化 巴黎協定生效"
"14","全球野生動物 40年消失六成"
"15","朴槿惠閨密崔順實 干政遭拘押"
"16","民主運動領袖 翁山蘇姬"
"17","Sponsored"
"18","飯店最髒的地方曝光…太驚人"
"19","第1次進他房間 背著媽媽做…"
"20","童話世界成真～房子好像彩色積木"
"21","昆汀塔倫提諾再拍兩部就退休！"
