"","x"
"1","（中央社馬納瓜7日綜合報導）尼加拉瓜中央銀行在最新的外貿報告中指出，今年前9個月，美國、薩爾瓦多、哥斯大黎加、委內瑞拉和瓜地馬拉是尼國最主要的出口市場，總共吸收了67.9%的尼國出口。"
"2","    這份月報顯示，上述期間，美國1國就進口了尼加拉瓜42.4%的出口總量，其次是薩爾瓦多，占10.8%，哥斯大黎加占6%、委內瑞拉5%以及瓜地馬拉3.8%。"
"3","    據官方統計，今年前9個月，尼加拉瓜的出口總額達到22億7670萬美元。"
"4","    央行的報告中分析，由於國際市場原物料價格低廉，使得尼加拉瓜今年第三季出口持續成長。"
"5","    報告中指出，今年第3季尼國的黃金、咖啡和花生的出口均見成長，尤其是黃金的國際價格上漲了6.8%，使得出口成長了11.1%。1051108"
"6","絕食抗議砍7天假 勞團與警爆衝突"
"7","防美大選衝擊　國安基金5千億待命　"
"8","低溫宅配車廂溫度達35度 食安疑慮！"
"9","抗議刪7天假 勞團立院前絕食逾70小時"
"10","Sponsored"
"11","飯店最髒的地方曝光…太驚人"
"12","第1次進他房間 背著媽媽做…"
"13","童話世界成真～房子好像彩色積木"
"14","昆汀塔倫提諾再拍兩部就退休！"
