"","x"
"1","「這是一場很奇怪的美國總統大選，兩名候選人都不受大多數美國人民的喜愛。通常這可能會發生在一個候選人身上，而不是兩個都這樣。」美國之音引述西維吉尼亞大學分析家派翠克‧希基(Patrick Hickey)說，主導這場選舉的，不是政見，而是兩名候選人暴露出來的缺點。"
"2","在幾小時後就要投票的這屆美國總統大選，幾個月的競選活動下來，最讓人印象深刻的，是兩個候選人幾乎把所有精力都對準對方的毛病，整個戰場瀰漫了性、謊言與種族歧視的無窮盡指控。"
"3","<U+00A0>"
"4","總統大選通常會聚焦在諸如經濟、外交和移民這類問題上。不過，《美國之音》引述喬治華盛頓大學的專家馬修‧達萊克(Matt Dallek)說，今年顯然不一樣。「我認為這有關性格的議題還會繼續成為焦點。我不認為這會消失，而且我認為在某種非同尋常的程度上，問題和政策都沒有真的像往常一樣成為焦點。」馬修的說法在民調上獲得印證，民調顯示，很多選民在今年選舉過程中，被無可避免地把關心重點偏移到候選人的性格上，他們質疑希拉蕊是否值得信任，卻更害怕川普缺乏擔任總統所需要的性格。"
"5","<U+00A0>"
"6","分析家派翠克說，由於雙方都不斷地強化對手性格上的攻擊，大選的結果很可能會就是取決於哪一方的支持者更有動力出來投票。但是這個投票動力，也可能來自於太討厭對手才出來投票的，卻不是說真的有多支持自己屬意的人選。"
"7","總之，美國史上歷時最長，也是最分裂的總統選舉之一，隨著投票開始，也馬上就要結束了。對很多選民來說，他們已經迫不及待想終結這一切了。"
"8","<U+00A0>"
"9","America decides - first votes cast"
"10","America decides - first votes cast"
"11","Philippines drugs crackdown strains packed jails"
"12","NYC shows off anti-vote fraud technology"
"13","Sponsored"
"14","遏止全球暖化 巴黎協定生效"
"15","全球野生動物 40年消失六成"
"16","朴槿惠閨密崔順實 干政遭拘押"
"17","民主運動領袖 翁山蘇姬"
"18","Sponsored"
"19","飯店最髒的地方曝光…太驚人"
"20","第1次進他房間 背著媽媽做…"
"21","童話世界成真～房子好像彩色積木"
"22","昆汀塔倫提諾再拍兩部就退休！"
