"","x"
"1","美國國防部發言人庫克(Peter Cook)7日表示，如果獲得聯合國支持的利比亞政府提出要求，美國已經準備好對利比亞境內的「伊斯蘭國」(Islamic State)目標進行更多空襲，即使目前「伊斯蘭國」在利比亞控制的區域已經不多。 "
"2","應利比亞全國協議政府(Government of National Accord, GNA)的要求，美國自8月以來已經對利比亞境內的「伊斯蘭國」，進行了超過350次空襲，其中主要是針對蘇爾特市(Sirte)。但自10月31日以來，已經暫停空襲行動。 "
"3","庫克7日在一項記者會中表示，如果有需要，美國已經準備好隨時可以展開更多空襲。 "
"4","「伊斯蘭國」在2015年完全控制了擁有8萬人口的蘇爾特市。如果失去蘇爾特，將使「伊斯蘭國」在利比亞幾乎無立足之地。"
"5","America decides - first votes cast"
"6","America decides - first votes cast"
"7","Philippines drugs crackdown strains packed jails"
"8","NYC shows off anti-vote fraud technology"
"9","Sponsored"
"10","遏止全球暖化 巴黎協定生效"
"11","全球野生動物 40年消失六成"
"12","朴槿惠閨密崔順實 干政遭拘押"
"13","民主運動領袖 翁山蘇姬"
"14","Sponsored"
"15","飯店最髒的地方曝光…太驚人"
"16","第1次進他房間 背著媽媽做…"
"17","童話世界成真～房子好像彩色積木"
"18","昆汀塔倫提諾再拍兩部就退休！"
