"","x"
"1","新頭殼newtalk"
"2",">"
"3","美國總統大選進入最後倒數時刻，共和黨候選人川普（DonaldTrump）與民主黨候選人希拉蕊‧柯林頓（Hillary Clinton）的支持度持續拉鋸，不過根據美國南加大電腦科學家的最新研究發現，軟體社交機器人（bots）狂發力挺川普的推文，有扭曲川普在社群網站「推特」的支持度之嫌。"
"4","這項新的研究被發表在線上期刊「First Monday」，由貝西（Alessandro Bessi）與費拉拉（Emilio Ferrara）聯名刊登。文中指出，社群媒體對於政治與社會問題進行越來越多的民主討論，受到廣泛讚譽；但是，當這種強大的通訊工具被利用來操縱在線討論，改變公眾對政治實體的看法，甚至嘗試影響政治選舉的結果時，可能對民主政治討論產生負面影響，非但不是改善它，反而可能改變公眾輿論並危及總統選舉的完整性。"
"5","研究指出，科學家們調查出社交媒體機器人的存在，表面上顯示為合法用戶，而實際上圍繞2016年美國總統大選的政治討論，最先進的社交機器人的推文數量，約佔整個對話的1/5！"
"6","研究人員分析將近280萬名用戶在9月16日至10月21日間，發送的2000萬則推文，推估其中約有超過40萬個帳號疑似屬於機器人。在文中所附上的表格裡，可以清楚看到，支持2名總統候選人的社交機器人與真實人類推文的情感分布，差異很大，而川普獲得更多機器人的推文支持。文章警告，機器人有系統地對某位候選人發送正面訊息，恐怕會造成偏差看法。"
"7","值得注意的是，在研究人員的調查中，社交機器人關於川普的推文，幾乎全是正面訊息；而關於希拉蕊的只有約半數是正面訊息，其他是負面抨擊推文。"
"8","<U+00A0>"
"9","America decides - first votes cast"
"10","America decides - first votes cast"
"11","Philippines drugs crackdown strains packed jails"
"12","NYC shows off anti-vote fraud technology"
"13","Sponsored"
"14","遏止全球暖化 巴黎協定生效"
"15","全球野生動物 40年消失六成"
"16","朴槿惠閨密崔順實 干政遭拘押"
"17","民主運動領袖 翁山蘇姬"
"18","Sponsored"
"19","飯店最髒的地方曝光…太驚人"
"20","第1次進他房間 背著媽媽做…"
"21","童話世界成真～房子好像彩色積木"
"22","昆汀塔倫提諾再拍兩部就退休！"
