"","x"
"1","（中央社記者尹俊傑北京8日電）中國大陸官方今天公布，以美元計價，大陸10月出口年減7.3%，進口年減1.4%，降幅大於市場預期的6%和1%。專家預期，大陸出口可能要到明年下半年才會真正好轉。"
"2","    大陸海關總署上午在官網公布，大陸10月貿易順差為490.56億美元。以人民幣計價，大陸10月出口總值年減3.2%，進口總值年增3.2%，貿易順差為人民幣3252.5億元。"
"3","    今年1至10月，大陸進出口總值年減1.9%。其中，出口下滑2%，進口下滑1.8%。"
"4","    大陸海關總署指出，今年前10個月，大陸對歐盟、東協、日本等貿易夥伴進出口成長，對美國進出口衰退。機電產品、紡織品等部分傳統勞力密集型產品出口下滑，鐵礦砂、原油和銅等大宗商品進口量增加。"
"5","    路透中文網報導，大陸申萬宏源證券首席宏觀分析師李慧勇表示，大陸年初目標是全年進出口成長與全球貿易成長同步，但從前10個月情況觀察，基本上很難實現。"
"6","    李慧勇指出，鑑於基期因素，大陸進出口數據有所好轉可以預期，但更該看重的是出口改善的基本面目前不存在，可能要到2017年下半年後出口才會真正好轉。"
"7","    瑞穗證券亞洲首席經濟學家沈建光表示，大陸10月外貿數據基本維持9月態勢，出口繼續疲弱，進口表現相對較好，主因是內需回暖，特別是原物料大幅反彈，最明顯的就是煤炭限產造成需求成長。1051108"
"8","絕食抗議砍7天假 勞團與警爆衝突"
"9","防美大選衝擊　國安基金5千億待命　"
"10","低溫宅配車廂溫度達35度 食安疑慮！"
"11","抗議刪7天假 勞團立院前絕食逾70小時"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
