"","x"
"1","希拉蕊費城造勢歐巴馬伉儷挺 吸引4萬人"
"2","（法新社費城7日電）    競選團隊幕僚說，民主黨總統候選人希拉蕊．柯林頓今天在費城美國獨立紀念館造勢，丈夫柯林頓與總統歐巴馬和第一夫人蜜雪兒．歐巴馬站台力挺，吸引約4萬人湧入。"
"3","    美國搖滾巨星「工人皇帝」布魯斯史普林斯汀（Bruce Springsteen）與瓊邦喬飛（Jon Bon Jovi）也參與費城造勢，這是希拉蕊．柯林頓（HilitaryClinton）最後一天競選活動倒數第2場造勢活動。"
"4","    競選團隊幕僚告訴隨行記者，出席人數創下希拉蕊．柯林頓造勢活動紀錄，上一個最多人參加的競選活動是在俄亥俄州，吸引1萬8500人參加。"
"5","    69歲的前國務卿希拉蕊．柯林頓與共和黨對手川普（Donald Trump）今天將相繼在數個關鍵決戰州造勢，在選前之夜最後一刻催票。"
"6","絕食抗議砍7天假 勞團與警爆衝突"
"7","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"8","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"9","蔡英文總統 新政權起步"
"10","Sponsored"
"11","飯店最髒的地方曝光…太驚人"
"12","第1次進他房間 背著媽媽做…"
"13","童話世界成真～房子好像彩色積木"
"14","昆汀塔倫提諾再拍兩部就退休！"
