"","x"
"1","大公開！醫師私房9大抗老秘訣"
"2","（優活健康網編輯部／綜合整理）每年在美國舉行的整形外科醫學會，總會吸引來自全球的整形外科醫師與會。許多整形外科醫師每年像候鳥一樣飛來，並非為了聆聽什麼傑出的論文發表，而是想一睹那對拉皮的雙胞胎姊妹花，究竟何時分出勝負。"
"3","到底哪種拉皮手術比較好?一直爭議難解。十年前，美國整形外科醫學會索性邀請兩位主張迥異的醫師，在眾醫師的見證下，以各自擁護的手術方法，為一對雙胞胎姊妹進行拉皮手術。"
"4","複合性深層手術　深層肌肉大挪移"
"5","這對白種人姊妹花當年五十歲，一名接受的是淺層筋膜手術，另一名是做複合性深層手術。誠如字面所見，前者拉皮手術只移動表淺的肌肉，後者是做深層肌肉的大挪移。之後，雙胞胎姐妹花的照片每年都會在醫學會上發表，由醫師們鑑定，並進行投票，看哪一個醫師的刀法能獲得最後的勝利。就像看連續劇一樣，整形醫師們都很關切投票結果。"
"6","有趣的是，前一、兩年，複合性拉皮術獲得明顯勝利，但第三年開始，兩者不分上下，今年更是翻盤成淺層拉皮贏了。面對這個結果，有醫師大喊:「不公平！」原來，住在美國東部的妹妹，醫師不僅為她做了淺層拉皮，還做了抗衰老教育；而住在西岸的姊姊，不僅抽菸且工作壓力大。所以這派醫師認為淺層拉皮法勝之不武。"
"7","青春之鑰　繫乎自己的健康生活型態"
"8","這齣連續劇看得我興味十足但心有同感，因為我追蹤做眼周年輕術的病人十年後，發現病人後來眼皮好不好看，和我當初切多少皮、多少脂肪的關係不大，反與病人的視力、健康和精神有關。很多人一定很好奇，那個醫師究竟傳授了什麼抗老秘訣。答案是："
"9","一、不抽菸:吸菸會使人少活七年。"
"10","二、少曝曬太陽:因陽光會使細胞提早死亡。"
"11","三、高纖維飲食。"
"12","四、每天一杯紅酒:一天一杯可以紓解壓力，但如超過兩杯，反而會增加罹癌率，減少壽命。"
"13","五、性生活:要有活躍的性生活，好產生讓人快樂的荷爾蒙，使人有自信。"
"14","六、減少壓力:避免生病。"
"15","七、睡眠充足。"
"16","八、保持體脂肪正常:因為肥胖和抽菸一樣會帶來眾多疾病。"
"17","九、有氧運動:一星期三次，每次三十分鐘的有氧運動，可以降低乳癌率百分之六十至七十。"
"18","別懷疑，這些老生常談就是抗衰老秘方！事實上，在門診裡常可看到想整型的人，抽菸、喝酒，睡眠不足又壓力大，體重忽胖忽瘦，他們常寄望於醫師開一刀就能維持十年青春，卻不知青春之鑰，繫乎自己的健康生活型態。(本文摘自／不老的幸福／寶瓶文化)"
"19","扁開罵已恢復健康？保外就醫再獲展延"
"20","「腰腿比」測肥胖  超過1.8得小心"
"21","落實醫療分級！  大醫院「部分負擔」漲價"
"22","【健康賺得到】糖尿病"
"23","Sponsored"
"24","飯店最髒的地方曝光…太驚人"
"25","第1次進他房間 背著媽媽做…"
"26","童話世界成真～房子好像彩色積木"
"27","昆汀塔倫提諾再拍兩部就退休！"
