"","x"
"1","全球矚目的2016年美國總統大選，明天即將進行投票。對於大選的結果，外交部發言人王珮玲今(8)日表示，外交部會在第一時間呈報，並會依慣例，在大選結果確定以後，第一時間以總統名義致賀。"
"2","王珮玲指出，事實上不止中華民國，全世界都在矚目這場總統、副總統大選；而我駐美代表處及各辦事處，平時就與民主共和兩黨的全國委員會，以及地方性的組織，有非常密切的交往、互動。"
"3","她說，從兩黨初選階段起，政府就已密切注意他們的初選過程中，有可能出現的人選；對於大選的結果，外交部及駐美代表處，也會密切的觀察注意，並會研析相關的結果，在第一時間呈報。"
"4","由於還沒有投票，王珮玲表示，國內也有一些代表團去參民主、共和兩黨全國代表大會，與他們選舉的單位及人員進行交流，「在這兩個陣營，我們都有很多的好朋友」，選後政府會持續再加強與新團隊的聯繫。"
"5","王珮玲強調，外交部與駐美代表處都已設有專案小組，隨時會收到駐美代表處報回的研析；而依過去的慣例，在大選結果確定以後，外交部會在第一時間，以總統名義向美國致賀。"
"6","絕食抗議砍7天假 勞團與警爆衝突"
"7","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"8","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"9","蔡英文總統 新政權起步"
"10","Sponsored"
"11","飯店最髒的地方曝光…太驚人"
"12","第1次進他房間 背著媽媽做…"
"13","童話世界成真～房子好像彩色積木"
"14","昆汀塔倫提諾再拍兩部就退休！"
