"","x"
"1","工商時報【鍾寧、李書良╱綜合報導】"
"2","儘管有來自官方、學界與市場的警惕聲，但近日中國華北地區霧霾嚴重，官方啟動包括錯峰生產、清理汙染企業等最新措施。昨（7）日中國煤炭期貨仍延續上周五（4）的漲勢，期貨市場在黑色系商品帶領下飆漲。"
"3","截至昨日收盤，焦煤、焦炭、螺紋鋼、滬錫、玻璃主力合約漲停；滬鎳漲5.27％，熱軋卷板漲4.95％，鐵礦砂、滬銅、鄭煤漲幅超過3％，滬鉛、滬鋅等漲超1％。"
"4","整體來看，黑色系商品在10月份漲幅驚人。焦炭暴漲38.68％，焦煤漲29.16％，鐵礦砂漲24.1％，漲幅之大令人咋舌。今年的漲幅更是靚麗，截至11月1日，焦煤全年累計漲幅已達146.77％，螺紋鋼近月漲幅達68.35％，BOCE動力煤漲幅達81.25％，DCE焦炭漲幅更達187.12％。"
"5","綜合陸媒報導，昨日的黑色系商品表現可謂瘋狂。焦炭主力合約1701午後開盤即告漲停，至每噸2,001.5元人民幣（下同），創下2013年3月以來新高，上周五收漲6.55％。焦煤漲停，報每噸1,516元，該品項上周五收盤封漲停。動力煤1701漲幅一度擴大至4.3％，收盤報每噸674元。"
"6","同時，螺紋鋼在午後開盤短短6分鐘內漲停，報每噸2,889元，創2014年9月以來新高。鐵礦砂漲幅一度擴大至5％，收盤報每噸520元。滬錫早盤即封漲停。"
"7","報導稱，事實上，近日以來隨著中國發改委對煤價限制的不斷要求，黑色系的利空消息頻出，但黑色系商品價格卻依然堅挺。"
"8","華爾街日報引述多位分析師指出，基本面方面，中國主要鋼廠的焦煤庫存已經連續9天下降，目前觸及歷史最低水準，市場供應依然偏緊，而冬季採暖季即將來臨，需求會繼續上漲。"
"9","同時，整體鋼鐵廠需求受基礎建設支撐，表現良好，因此鋼廠有能力應對更高的原材料價格。"
"10","另一方面，黑色系商品飆升的投機氛圍，也引發全球性關注。英國金融時報指出，投機活動的激增，導致原材料（如鋼鐵和鐵礦砂期貨）價格大幅上漲。這讓習於遵循供需基本面的西方交易商和分析師目瞪口呆。"
"11","America decides - first votes cast"
"12","America decides - first votes cast"
"13","Philippines drugs crackdown strains packed jails"
"14","NYC shows off anti-vote fraud technology"
"15","Sponsored"
"16","遏止全球暖化 巴黎協定生效"
"17","全球野生動物 40年消失六成"
"18","朴槿惠閨密崔順實 干政遭拘押"
"19","民主運動領袖 翁山蘇姬"
"20","Sponsored"
"21","飯店最髒的地方曝光…太驚人"
"22","第1次進他房間 背著媽媽做…"
"23","童話世界成真～房子好像彩色積木"
"24","昆汀塔倫提諾再拍兩部就退休！"
