"","x"
"1","曼哈頓街頭的紐約客，在美國總統大選投票日前夕，被招待看了一場免費的巨星演唱，瑪丹娜在華盛頓廣場公園，舉辦了一場小型的戶外演唱會，在歷時30分鐘的表演裡，她唱了好幾首暢銷歌曲，穿著美國國旗圖案衣服的瑪丹娜呼籲民眾踴躍投票，讓美國繼續偉大，而不是再度偉大，讓美國再度偉大是川普的競選口號，希拉蕊則宣稱美國一直都是個偉大的國家。（圖片取材自網路）"
"2","<U+00A0>"
"3","America decides - first votes cast"
"4","America decides - first votes cast"
"5","Philippines drugs crackdown strains packed jails"
"6","NYC shows off anti-vote fraud technology"
"7","Sponsored"
"8","遏止全球暖化 巴黎協定生效"
"9","全球野生動物 40年消失六成"
"10","朴槿惠閨密崔順實 干政遭拘押"
"11","民主運動領袖 翁山蘇姬"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
