"","x"
"1","以色列政府7日正式回絕法國的邀請，拒絕參與今年底在巴黎舉行的中東和平會議。以色列認為，這項會議將分散以色列希望和巴勒斯坦直接談判的目標。 "
"2","法國特使維蒙(Pierre Vimont)7日在耶路撒冷會晤了以色列代理國家安全顧問以及尼坦雅胡(Benjamin Netanyahu)總理的外交政策顧問。會晤中，維蒙被告知，對於重啟2014年就停止的中東和平談判，以色列無意採取任何行動。 "
"3","尼坦雅胡辦公室發表聲明指出：「他們告訴法國特使，以色列對和平過程明確及坦率的立場，即以色列只會透過和巴勒斯坦自治政府的直接談判來達成協議。」 "
"4","維蒙隨後前往雷馬拉(Ramallah)會晤巴勒斯坦官員。對於以色列的立場，維蒙不願發表評論。但法國政府表示，仍計劃12月在巴黎召開中東和平會議。 "
"5","巴勒斯坦自治政府主席阿巴斯(Mahmoud Abbas)的發言人表示：「我們支持舉行和平會議，不管屆時以色列是否會參加。」 "
"6","今年以來，法國一直致力於重新推動已停滯的中東和談。在6月曾召開一項預備會議，包括聯合國、歐洲聯盟、美國以及阿拉伯主要國家都派代表參與，但為了不讓這個和平進程的努力一開始就觸礁，當時會議並沒有邀請以色列和巴勒斯坦參加。"
"7","絕食抗議砍7天假 勞團與警爆衝突"
"8","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"9","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"10","蔡英文總統 新政權起步"
"11","Sponsored"
"12","飯店最髒的地方曝光…太驚人"
"13","第1次進他房間 背著媽媽做…"
"14","童話世界成真～房子好像彩色積木"
"15","昆汀塔倫提諾再拍兩部就退休！"
