"","x"
"1",""
"2","大陸近期發佈的《中國家庭教育現狀》白皮書顯示，父親主導的家庭教育不到兩成，有快4成的人不知道該怎教育孩子。該數據顯示大陸家庭還是有強烈的大男人主義，專家呼籲這是民族危機。"
"3","大陸近期在濱州舉辦了「首屆中國家長節」暨「家校社共育與家長教育國際論壇」，並發布了《中國家庭教育現狀》白皮書，該書根據從2014年5月到2016年5月，對全國28個省市的家長進行問卷和網絡調查，並有30多名專家進行了統計和分析。據數據顯示大陸較多的家長認為家庭應教孩子做人道理，顯示家長能分清楚家庭教育和學校教育的區別，但家庭教育中父親在教育上的缺席仍顯嚴重，甚至父親主導教育的家庭，還不足兩成，不知道教育方法的佔37.82%。"
"4","這凸顯出，大陸夫妻雖可能都重視教育，但真正能實踐父親教育的仍在少數。這可能還是跟傳統中國家庭主張「男主外，女主內」的分工刻板印象有關，故男性將重心都擺在事業與職業上，減少了投入與孩子相處的時間，甚至某些男性存在著嚴重的「大男人主義」情結，鄙視「父教」，即便有多的時間也不肯花在孩子身上。專家認為這種忽略「父教」重要性的陳舊思想，是民族的一大隱憂。"
"5","而根據美國耶魯大學凱爾博士（Dr. Kyle Pruett）近期的研究指出，有父親一起參與的教育小孩的學習能力會教好，對於學校活動的參與也會比較高；在人格塑造上，會展現比較好自我認知、情緒控制、問題解決與適應能力；有父親對待母親好的榜樣，也會影響男孩女孩在未來與異性相處更健康。這原因源於男性的教育偏向理性，能補足多給予感性教育的母親。"
"6","大陸微博上也針對耶魯大學作的研究上列舉父親教育的方式，父親提供文史哲知識、帶領孩子進行訓練果斷、冒險的活動、鼓勵自己動手做，聆聽並給於建議建立權威等，都是給於孩童培養自信獨立不可或缺方式。故呼籲父母親提供的不同可以分工，但教於問題要同心一致，不推托責任共同肩負。（李明凱/綜合外電）"
"7","扁開罵已恢復健康？保外就醫再獲展延"
"8","「腰腿比」測肥胖  超過1.8得小心"
"9","落實醫療分級！  大醫院「部分負擔」漲價"
"10","【健康賺得到】糖尿病"
"11","Sponsored"
"12","飯店最髒的地方曝光…太驚人"
"13","第1次進他房間 背著媽媽做…"
"14","童話世界成真～房子好像彩色積木"
"15","昆汀塔倫提諾再拍兩部就退休！"
