"","x"
"1","（中央社記者黃兆平紐約7日專電）美總統大選進入倒數，民主及共和兩大黨明晚勝選晚會分別選在曼哈頓的賈維茨會議中心與希爾頓飯店，百年來首見。"
"2","    紐約市警局已增派警力維安，惟警方今天婉拒民主黨在哈德遜河的煙火秀申請。"
"3","    另外，基於場地空間及安全等理由，這次大選民主及共和兩大黨拒絕發給包括兩岸三地等不少外媒申請採訪慶功晚會的媒體證，也是過去所罕見，多少反映了選情激烈。"
"4","    因應全世界各地大批記者採訪，紐約外籍記者新聞中心（New York Foreign Press Center）暫時關閉，改在距離聯合國不遠的威斯汀飯店（Westin）設置臨時記者中心。"
"5","    民主黨總統候選人希拉蕊?柯林頓今晚在選情緊繃的賓州費城舉行最後造勢大會，而共和黨候選人川普則在新罕布夏州曼徹斯特市（Manchester）做最後衝刺。"
"6","    希拉蕊?柯林頓明天勝選晚會定在曼哈頓西邊、專門舉辦大型商展的賈維茨會議中心（Javits Center）舉行，至於川普的「勝利之夜」選在距離他競選總部不遠的第6大道希爾頓飯店（New York Hilton）。不過兩大黨只邀請各自陣營的友人或支持群眾。"
"7","    對於希拉蕊?柯林頓陣營申請在賈維茨會議中心臨近的哈德遜河上空舉行煙火秀，已遭紐約市警察局情報處處長加拉迪（Thomas Galati）反對而作罷。"
"8","    新上任的市警局長歐尼爾（James P.O'Neill）表示，兩大黨候選人慶功晚會皆選在曼哈頓是百年難遇之事，讓原本已是恐怖攻擊最大目標的曼哈頓感覺威脅更大。"
"9","    他說，仍在評估一些恐襲警告，警方也已完成全面維安部署。除了正常警力，市警局增派5000多名員警，支援各投票站、候選人勝選晚會場地及時報廣場等知名景點，力保紐約客平安度過大選日。1051108"
"10","絕食抗議砍7天假 勞團與警爆衝突"
"11","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"12","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"13","蔡英文總統 新政權起步"
"14","Sponsored"
"15","飯店最髒的地方曝光…太驚人"
"16","第1次進他房間 背著媽媽做…"
"17","童話世界成真～房子好像彩色積木"
"18","昆汀塔倫提諾再拍兩部就退休！"
