"","x"
"1","（中央社記者鄭崇生華盛頓7日專電）美國國務院副發言人唐納（Mark Toner）今天表示，美國對有關香港立法會近來的情勢發展感到「失望」，美國「強烈支持」並「珍視」香港立法會及司法獨立。"
"2","    唐納在每日新聞簡報會上唸出預先準備好的聲明，做上述表示。"
"3","    中國大陸全國人民代表大會7日藉由解釋法令，禁止兩位當選立法會議員的港獨人士就職，北京當局透過對香港基本法第104條的解釋做出裁定，宣誓人須向屬於中國的香港效忠，更改誓詞或不能真誠莊重的宣誓，就喪失資格。"
"4","    唐納則說，美國對有關香港立法會近來情勢的發展感到「失望」，美國強烈支持並珍視香港立法會及司法獨立，美國認為，自1997年香港主權移交以來，這兩個機構根據香港「基本法」與「一國兩制」架構，在促進與保護特區政府的高度自治上、扮演的重要角色。"
"5","    25歲的游蕙禎和30歲的梁頌恆10月在香港立法會宣誓典禮中向「香港民族」宣誓效忠，並展示「香港不是中國」的旗子；全國人大的作法已在香港引發示威遊行。"
"6","    路透社認為，這是香港1997年主權移交以來，北京當局對香港法律和政治制度最直接的干預；美聯社則說，香港法院正在審理這件案子，但北京當局繞過香港法院、採取行動的做法，拒絕給他們重新宣誓的機會，引起外界憂慮，擔心香港司法的獨立性已遭破壞。"
"7","    唐納說，美國要敦促中國與香港特區政府及所有香港當選的政治人物，避免採取任何會讓人更加擔憂或破壞對「一國兩制」原則信心的行動。"
"8","    他指出，香港的繁榮穩定，取決於「中英聯合聲明」與「基本法」能否成功落實，而美國認為，一個根據法治、盡可能高度自治的開放社會，對香港作為中華人民共和國的特別行政區能繼續繁榮與穩定是必要的。1051108"
"9","America decides - first votes cast"
"10","America decides - first votes cast"
"11","Philippines drugs crackdown strains packed jails"
"12","NYC shows off anti-vote fraud technology"
"13","Sponsored"
"14","遏止全球暖化 巴黎協定生效"
"15","全球野生動物 40年消失六成"
"16","朴槿惠閨密崔順實 干政遭拘押"
"17","民主運動領袖 翁山蘇姬"
"18","Sponsored"
"19","飯店最髒的地方曝光…太驚人"
"20","第1次進他房間 背著媽媽做…"
"21","童話世界成真～房子好像彩色積木"
"22","昆汀塔倫提諾再拍兩部就退休！"
