"","x"
"1","選前之夜 川普希拉蕊強力催票"
"2","一場被形容為美國史上最醜陋的選戰，終於要劃下句點，美國兩黨候選人選前最後一夜，聲嘶力竭，強力催票，希拉蕊柯林頓由她的超級助選員、美國總統歐巴馬陪伴，在美國民主的誕生地費城，對全美喊話，呼籲選民擁抱充滿希望、包容以及偉大的國家，川普則發誓要摧毀這個腐敗的共犯系統。（夏明珠報導）"
"3","選前之夜，兩黨都造勢到深夜，為這場讓美國社會分裂暴露無遺的瘋狂選戰，劃下一個激情的句點。"
"4","希拉蕊信心滿滿，特別是在FBI宣佈重啟調查的電郵案，她過關了之後，她選前之夜的講台上，匯聚了民主黨最有人氣的明星，包括"
"5","歐巴馬與他夫婿柯林頓這兩個總統，以及歐巴馬的夫人蜜雪兒。"
"6","希拉蕊對於下任總統要面臨的挑戰，就是如何團結一個被撕裂的國家，有所體認，對於選戰用這麼憤怒的方式呈現，她說深感遺憾，不過說這是這個時代的美國人，必須面對的挑戰。"
"7","超級助選員歐巴馬向選民喊話，要他們用選票拒絕恐懼，迎向希望。"
"8","川普方面，選前最後一天，他跑了五場造勢會，回顧來時路，他也忍不住感嘆，不過直到最後一刻，他還是火力十足，痛批希拉蕊是犯罪系統的共犯，呼籲選民用選票摧毀這個腐敗的結構，讓正義得以伸張。（圖片取材自網路）"
"9","絕食抗議砍7天假 勞團與警爆衝突"
"10","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"11","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"12","蔡英文總統 新政權起步"
"13","Sponsored"
"14","飯店最髒的地方曝光…太驚人"
"15","第1次進他房間 背著媽媽做…"
"16","童話世界成真～房子好像彩色積木"
"17","昆汀塔倫提諾再拍兩部就退休！"
