"","x"
"1","巴西凍結銀行里約州帳戶3天"
"2","（法新社里約熱內盧7日電）    巴西政府今天凍結里約熱內盧州的銀行帳戶，下令里約州償還5300萬美元逾期債務。官員透露，帳戶凍結僅適用3個工作天，不至影響6日公務員薪資發放。"
"3","    巴西面臨百年來最嚴重經濟衰退，里約州也接近破產，年底負債總額高達175億巴西幣（54億美元）。"
"4","    里約州州長裴照（Luiz Fernando Pezao）4日宣布一套嚴苛的撙節方案，包括削砍社會福利、退休人員加稅、調漲銷售稅和公共交通票價等。"
"5","    這些顧人怨的措施必須獲得州議會的通過。"
"6",""
"7","America decides - first votes cast"
"8","America decides - first votes cast"
"9","Philippines drugs crackdown strains packed jails"
"10","NYC shows off anti-vote fraud technology"
"11","Sponsored"
"12","遏止全球暖化 巴黎協定生效"
"13","全球野生動物 40年消失六成"
"14","朴槿惠閨密崔順實 干政遭拘押"
"15","民主運動領袖 翁山蘇姬"
"16","Sponsored"
"17","飯店最髒的地方曝光…太驚人"
"18","第1次進他房間 背著媽媽做…"
"19","童話世界成真～房子好像彩色積木"
"20","昆汀塔倫提諾再拍兩部就退休！"
