"","x"
"1","作者Yahoo!奇摩"
"2","5000名披著雨衣，身著統一紅色運動衣的中國大媽們，昨天上午在湖北省武漢市黃陂區雲霧山下同時「起舞」，挑戰金氏世界紀錄。"
"3","楚天都市報報導，這是中國大陸昨天舉行挑戰最大規模排舞（多場地）金氏世界紀錄武漢分會場，在武漢等14個城市的不同場地上，共計5萬名大媽在「西班牙鬥牛舞」等樂曲中同時起舞。"
"4","報導指出，金氏世界紀錄總部認證官昨天則在活動北京主會場，認證挑戰結果。據統計，在武漢、上海、大連、重慶、天津等大陸14個城市，共超過有5萬人成功創造新的最大規模排舞世界紀錄。"
"5","報導引述活動發起方紅舞聯盟負責人表示，舉辦這項活動的目的就是普及健康生活理念和運動健身，培養科學、文明、健康的生活方式。"
"6","America decides - first votes cast"
"7","America decides - first votes cast"
"8","Philippines drugs crackdown strains packed jails"
"9","NYC shows off anti-vote fraud technology"
"10","Sponsored"
"11","遏止全球暖化 巴黎協定生效"
"12","全球野生動物 40年消失六成"
"13","朴槿惠閨密崔順實 干政遭拘押"
"14","民主運動領袖 翁山蘇姬"
"15","Sponsored"
"16","飯店最髒的地方曝光…太驚人"
"17","第1次進他房間 背著媽媽做…"
"18","童話世界成真～房子好像彩色積木"
"19","昆汀塔倫提諾再拍兩部就退休！"
