"","x"
"1","旺報【特派記者陳曼儂、陳秀蘭╱廈門報導】"
"2","大陸全國政協主席俞正聲7日接見兩岸企業家峰會台方代表，再度畫紅線，強調陸方會繼續堅持兩岸和平發展、經濟合作與人民往來，唯一不允許的是「台獨」，且「我們願意先與支持兩岸關係和平發展的廣大台灣同胞分享大陸發展機遇」。"
"3","2016兩岸企業家峰會7日下午在廈門舉行閉幕儀式，俞正聲在會前特別會見與會的企業家代表。"
"4","籲促進兩岸產業融合"
"5","然而在前一天峰會開幕式時，峰會陸方理事長、也是大陸前國務院副總理曾培炎也明確提出，希望企業家除了對市場與社會負責外，也應該為維護國家統一、兩岸和平做出貢獻。"
"6","去年11月7日，雙方領導人在新加坡進行「馬習會」，而今年卻面臨兩岸關係冷對抗，俞正聲7日在兩場活動上主動提及，面對外界擔憂520後台灣新執政當局「單方面」破壞兩岸和平發展的政治基礎後，導致兩岸聯繫、溝通與協商機制中斷、經濟合作制度化進程停滯等，已讓兩岸同胞切身利益和感情受到損害。"
"7","他提出四點關於兩岸深化經濟合作交流的意見，包括攜手合作應對世界經濟發展變遷、創新模式促進兩岸產業融合發展、創造條件增進兩岸基層民眾與青年福祉，以及善盡責任、維護兩岸關係和平發展。"
"8","他也點名兩岸合作，可以在網路、新能源、高端裝備製造業、新材料等新興戰略產業上，向價值鏈中高端躍升，可以交互持股、共同研發、共創品牌、共建標準，並讓台商探索與參與大陸「一帶一路」沿線，以及對外口岸商貿物流園區等發展。"
"9","農漁業合作搭建平台"
"10","而三中一青方面，他也提到「十三五」規畫裡有加強兩岸農漁業、中小企業與電子商務領域的交流合作，會在條件適宜的地區，為基層的農漁業合作搭建平台，並鼓勵台灣青年的創業就業機制。"
"11","然而俞正聲也特別提到，「我們願意首先同願意支持兩岸關係和平發展的廣大台灣同胞、各界人士分享大陸發展機遇」，是否顯示未來可能會有差別化待遇，需要關注。"
"12","絕食抗議砍7天假 勞團與警爆衝突"
"13","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"14","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"15","蔡英文總統 新政權起步"
"16","Sponsored"
"17","飯店最髒的地方曝光…太驚人"
"18","第1次進他房間 背著媽媽做…"
"19","童話世界成真～房子好像彩色積木"
"20","昆汀塔倫提諾再拍兩部就退休！"
