"","x"
"1","美國民主黨總統候選人希拉蕊(Hillary Clinton)7日表示，如果她贏得總統大選，她將打電話給共和黨對手川普(Donald Trump)。"
"2","在8日大選投票日前一天，希拉蕊接受名主持人西克雷斯特(Ryan Seacrest)訪問。她表示，如果她贏得總統大選，將會打電話給川普。希拉蕊說，她希望川普能夠在團結國家方面，「扮演建設性的角色」。"
"3","希拉蕊表示，如果她贏了，選後她將集合川普支持者進行「全國對話」。她說，她會聆聽自己支持者的聲音，也會聆聽川普者的聲音。"
"4","另一方面，川普7日在賓州史克蘭頓(Scranton)舉行選前造勢大會。他說希拉蕊「一臉失敗相」，並預期自己將在8日大勝。"
"5","川普告訴滿場歡呼聲的群眾，他不相信他和希拉蕊支持度不相上下的民調。他說：「我想，我們明天要擊垮他們」。"
"6","此外，川普7日也重提他為這次總統選戰投入了1億美元的費用。但根據募款紀錄顯示，距離大選投票不到24小時，川普的競選經費比他宣稱的還短少了約3,400萬美元。"
"7","根據聯邦選舉委員會(Federal Election Commission)的報告，川普上次對自己競選活動投入經費是在10月28日，金額1,000萬美元，總數則為6,600萬美元。"
"8","<U+00A0>"
"9","America decides - first votes cast"
"10","America decides - first votes cast"
"11","Philippines drugs crackdown strains packed jails"
"12","NYC shows off anti-vote fraud technology"
"13","Sponsored"
"14","遏止全球暖化 巴黎協定生效"
"15","全球野生動物 40年消失六成"
"16","朴槿惠閨密崔順實 干政遭拘押"
"17","民主運動領袖 翁山蘇姬"
"18","Sponsored"
"19","飯店最髒的地方曝光…太驚人"
"20","第1次進他房間 背著媽媽做…"
"21","童話世界成真～房子好像彩色積木"
"22","昆汀塔倫提諾再拍兩部就退休！"
