"","x"
"1","（中央社邁阿密7日綜合外電報導）美國首位女性司法部長李諾（Janet Reno）今天辭世，享壽78歲。她在柯林頓時期當了8年部長，是20世紀美國任期最長的司法部長。"
"2","    法新社報導，親屬告訴美國有線電視新聞網（CNN），李諾清晨因巴金森氏症併發症病逝佛羅里達州邁阿密家中。"
"3","    白宮發出聲明說：「李諾是真正的美國人，是位有才智、正直的公僕，對司法的致力奉獻，協助形塑了我國的司法樣貌。」"
"4","    柯林頓則表示：「珍娜（李諾）在我當8年總統期間都擔任司法部長，她不懈努力，想讓我們的社區更加安全，想保護弱勢，並致力在尋求正義與避免權力濫用之間取得平衡。」"
"5","    李諾是柯林頓1993至2001年任內擔任司法部長，，以直言著稱，但其作風屢遭批評，常為共和黨攻擊對象。1993年4月，李諾上任僅1個多月，就因授權聯邦調查局（FBI）攻堅武裝邪教大衛教派（Branch Davidian）德州威果市（Waco）總部，導致總部大火、約80人喪命，而成為眾矢之的。"
"6","    她轄下的司法部經手過1993年世界貿易中心（World Trade Center）爆炸案，與1995年奧克拉荷馬市聯邦大樓爆炸案以及「大學炸彈客」（Unabomber）卡臣斯基（Ted Kaczynski）兩起本土恐怖攻擊案。"
"7","    此外，她曾經手1998年控告微軟公司涉嫌觸犯反托拉斯法1案，2000年還曾要求6歲古巴船難倖存男童岡薩雷茲（Elian Gonzalez）的親屬交出岡薩雷茲，讓他和父親團圓。"
"8","    李諾生於1938年7月21日，1956年入讀紐約州康乃爾大學，後來進入哈佛法學院，是同期500名學生中僅有的16名女性之一，3年後取得學位。1051108"
"9","America decides - first votes cast"
"10","America decides - first votes cast"
"11","Philippines drugs crackdown strains packed jails"
"12","NYC shows off anti-vote fraud technology"
"13","Sponsored"
"14","遏止全球暖化 巴黎協定生效"
"15","全球野生動物 40年消失六成"
"16","朴槿惠閨密崔順實 干政遭拘押"
"17","民主運動領袖 翁山蘇姬"
"18","Sponsored"
"19","飯店最髒的地方曝光…太驚人"
"20","第1次進他房間 背著媽媽做…"
"21","童話世界成真～房子好像彩色積木"
"22","昆汀塔倫提諾再拍兩部就退休！"
