"","x"
"1","（中央社記者田裕斌台北 8日電）距離美國總統大選不到24小時，投信分析，希拉蕊?柯林頓當選或川普當選，資本市場的反應將大不同，希拉蕊當選對風險性資產相對有利，若川普當選，市場波動性加劇。"
"2","    投信統計，回顧1972年以來，股市在美國總統大選年的表現，標準普爾500指數在近11次的美國總統選舉年當中，有9次為上漲，顯示美股在大選年多半上漲，與民主黨或共和黨無關。"
"3","    投信業者表示，在希拉蕊勝選的情境下，市場的反應會比川普當選的情況要來得正面，成長與通膨很可能持續穩定，雖然有來自歐洲的不確定性，如12月的義大利公投、2017年的德國和法國大選，可能限制市場的上檔空間，但短期內的市場氣氛仍可能被推升向上。"
"4","    相反的，若川普當選則對金融市場相對不利，預期市場波動度亦會增加，市場預期川普當政的美國會是一個較為封閉的美國，企業盈餘表現也會相對受到壓抑，目前貿易協定以及地緣政治風險都將面臨新的不確定性，若這樣的情境發生，預期美元會相對瑞士法郎或日圓貶值，新興市場（尤其是拉丁美洲）則會面臨較大賣壓，債信市場也會出現修正。1051108"
"5","絕食抗議砍7天假 勞團與警爆衝突"
"6","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"7","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"8","蔡英文總統 新政權起步"
"9","Sponsored"
"10","飯店最髒的地方曝光…太驚人"
"11","第1次進他房間 背著媽媽做…"
"12","童話世界成真～房子好像彩色積木"
"13","昆汀塔倫提諾再拍兩部就退休！"
