"","x"
"1","從2010年歐債危機開始，歐洲面臨一連串的打擊，去年中東難民危機，讓原本對難民張開雙臂的歐洲國家，紛紛關上了大門。今年六月，歐洲共同體六個創始會員國之一的英國，為了是否脫離歐盟舉辦公投，脫歐派意外勝出，英鎊對美元迄今已重貶17%，歐元受到英國脫歐衝擊，也跟著重貶，幾年下來，歐洲幾乎聽不到任何令人振奮的消息。但台灣民眾或許不知道，歐洲與歐股要「轉運」了。"
"2","在台灣今年經濟成長率面臨「保一」困境時，台灣民眾對於歐洲，或許還停留在歐債危機、經濟停滯的印象，不過，施羅德歐元股票基金經理人Martin Skanberg表示，英國最近公布第三季經濟成長率為2.3%，歐元區則是1.6%，這樣的表現，和過去幾年歐洲經濟成長率只有零點幾趴，已經不可同日而語。"
"3","Skanberg以內部貶值（Internal devaluation），形容歐豬五國過去幾年的經濟體質調整，他解釋，歐元的匯率因為和最大經濟體德國的生產力綁在一起，歐豬五國在歐債危機後，無法透過貨幣貶值方式快速恢復出口成長，因此只能透過內部貶值方式改善經濟體質。"
"4","Skanberg表示，愛爾蘭、西班牙等發生國債危機的歐豬五國，過去幾年配合歐洲央行撙節政府支出，財務赤字都已獲得改善，如今已經逐漸恢復到財政擴張、刺激經濟的常軌，西班牙第三季經濟成長率高達3%，比德國高出一倍，就是最好的例子，「事實上，西班牙過去幾年的撙節改革，已讓該國單位勞動成本，降到德國水準，從德國汽車廠將訂單轉到西班牙生產就可以看出。」"
"5","然而，今年六月的英國脫歐事件，讓英鎊與歐元大幅貶值，帶動了歐洲出口，英國脫歐成功後，全球金融市場對歐洲與英國，原本瀰漫悲觀看法，如今看來明顯過當，Skanberg說，歐洲與英國股市本益比，相較於美日股市明顯偏低，「儘管全球政治與經濟面有很多雜音，例如美國總統大選、英國脫歐，但如果能不受這樣的雜訊（political noise），從投資角度，歐洲與英國未來三年有很多投資機會，事實上，歐洲上市公司第三季的獲利表現，就比預期要好。」"
"6","Skanberg表示，英國首相梅伊雖然正式宣示，明年三月底前正式啟動脫歐機制，但目前英國內部對於「硬脫歐」、「軟脫歐」都還在爭論，脫歐過程，歐盟也會給英國至少二年的緩衝期，事實證明，脫歐對英國經濟的衝擊沒有想像的大，市場原本擔心，外資從英國撤資並沒有發生，反倒是英鎊大幅貶值，讓日產汽車最近反而決定增加對英國投資。"
"7","另外，外界最擔心的移民問題，最近在歐洲也有獲得控制的現象，Skanberg表示，英國脫歐當初最主要的爭論點，就在中東難民問題，現在歐洲國家已經開始邊境管制，避免中東難民的大規模流入。"
"8","有了英國脫歐後，英鎊重挫的慘痛例子，歐盟其他未加入歐元的北歐國家，未來在舉辦脫歐公投上也會三思，他相信，歐陸國家在討論脫歐議題上，會採取較為理性辯論的模式，畢竟帶動歐洲共同市場重要基礎－人力與資本的自由流動，是維持各國經濟成長的主要關鍵。"
"9","Skanberg表示，歐洲在歐債危機以來，經過幾年體質調整，今年企業獲利在貨幣貶值的幫助下表現可圈可點，施羅德預計明年歐元區經濟成長率可達1.6%、英國2.3%，瑞典等北歐國家甚至可達3.6%。"
"10","事實上，未來幾年歐洲在幾項重要社會變遷，有機會帶來商機。首先，電動車將帶動燃料電池等再生能源的產業發展，日前德國聯邦議會已通過，十年內將全面停止生產柴油內燃機，包括德國的福斯、寶馬、賓士等廠商，必須全力發展電動車，十年後電動車規模一年至少2-300萬輛，包括福斯汽車在內，都已宣示十年內電動車占總生產比率達25%；歐洲在人工智慧發展上，雖然落後美國，但歐股目前本益比遠低於美股，未來車聯網等人工智慧科技的導入，相關汽車零組件廠商未來頗為看好。"
"11","其次，歐洲人口老化將帶來醫藥與住宅相關商機，人口老化導致勞動人口減少，將不利於製造業，不過Skanberg強調，這個世界本來就充滿矛盾，危機往往帶來商機，德國與瑞典在去年中東難民危機中，收容最多中東難民，未來如果處理得宜，反而有助於人口結構的改善。"
"12","「在世局多變的今天，投資者必須要懂得與矛盾共舞(let paradoxes become your friend)」Skanberg表示，全球債市，尤其是政府公債已經走了30年多頭格局，在全球利率已探歷史新低下，歐元區「負利率」現象已維持很長時間情況下，殖利率未來隨美國聯準會利率調升，緩步回到「正利率」的正常化環境，未來幾年可望慢慢發生，歐美等主要國家也希望透過利率正常化，將資金從債市轉向股市，刺激消費與投資。"
"13","Skanberg說，歐債危機發生後，儘管有些經濟學家悲觀預估，歐洲走上日本「失落十年」的道路，但歐洲至少透過移民政策改善人口結構，這是歐洲實質利率有機會由負轉正的契機。"
"14","「未來，歐美國家殖利率的變化，將是股市投資人極為有趣的參考指標」，目前德國十年期公債的實質利率，已經掉到負0.1-0.2%，未來隨經濟好轉，負利率不可能維持下去，屆時「棄債轉股」的資金挪移現象將會慢慢發生。"
"15","NBA 精采直擊"
"16","影劇娛樂集錦"
"17","不滿查稅！　拍扁麵包師往陳菊官邸抗議"
"18","16首世大運主題曲角逐 奪冠獎金30萬"
"19","Sponsored"
"20","飯店最髒的地方曝光…太驚人"
"21","第1次進他房間 背著媽媽做…"
"22","童話世界成真～房子好像彩色積木"
"23","昆汀塔倫提諾再拍兩部就退休！"
