"","x"
"1","萬事達卡聊天機器人　線上支付交易大幫手"
"2","　　誓言成為科技公司的萬事達卡，宣布再有新方案上線，最快明(2017)年初將推出人工智慧聊天機器人(Chatbot)，初期利用臉書通訊軟體Messenger開放美國用戶測試，預計未來將推廣到所有通訊軟體上，消費者就能利用通訊軟體向店家下單，透過Chatbot以MasterPass付款，達到便利支付的目的。"
"3","	　　根據國際諮詢公司Gartner調查，截至目前全球已有近20億美元的線上購物，經由行動數位助理服務完成，顯示聊天通訊平台逐步影響購買行為。為迎合不同消費場景與消費者的喜好，萬事達卡開發人工智慧聊天機器人「Chatbot」，與消費者進行溝通，同時協助銀行及商家管理財務，滿足支付市場的需求。"
"4","	　　萬事達卡表示，Chatbot最快於2017年初上線，第1階段在臉書通訊平台Messenger上推出測試版本，利用對話式的服務為美國民眾提供創新金融服務。包含詢問個人帳戶資訊、查詢購買紀錄、帳控個人花費…等，通通一手包辦，並逐步觸及全球Messenger用戶，屆時預估每月使用人數可達10億人，且持續推廣到其他通訊軟體上。"
"5","	　　Chatbot聊天機器人將協助進行線上支付，使用者透過通訊平台與商家對話購物，並採MasterPass支付系統結帳，無須打開錢包或開啟商家APP、註冊登錄等繁瑣步驟，在聊天機器人的輔助下，即可輕鬆完成結帳，加速店家的商務開發，近期內開放實驗性Bot Commerce API，供企業端自行測試。"
"6","	　　其實早在MSN通訊時期，就有不少企業開發聊天機器人軟體，目前國內各家銀行也有24小時服務的「機器人客服」，能針對客戶提出的關鍵字，在資料庫中尋找最佳解決方案，不僅降低昂貴的客服人力成本，效率也提升數倍。而Chatbot加入MasterPass支付模式，將為數位生活帶來更便利的消費體驗。"
"7","蔡阿嘎-嘎奇麥唬爛15（30分鐘就能織出圍巾?）"
"8","蔡阿嘎-嘎奇麥唬爛#15：吹風機10分鐘吹出水煮蛋?"
"9","奧客王蔡阿嘎來亂場。叫恁總ㄟ踹共 (蔡阿嘎X Yahoo奇摩拍賣)"
"10","30秒看完蔡阿嘎X Yahoo奇摩拍賣超人氣合作！"
"11","Sponsored"
"12","15軸雙臂機器人 大幅提升產能"
"13","旅展新科技！AR體驗尬座艙導覽搶客"
"14","遏止全球暖化 巴黎協定生效"
"15","通訊軟體 LINE"
"16","Sponsored"
"17","飯店最髒的地方曝光…太驚人"
"18","第1次進他房間 背著媽媽做…"
"19","童話世界成真～房子好像彩色積木"
"20","昆汀塔倫提諾再拍兩部就退休！"
