"","x"
"1","第28次上海市市長國際企業家諮詢會議6日在此間舉行，上海市市長楊雄作主題報告時說，“上海正在編制新一輪城市總體規劃，提出到2040年成為卓越的全球城市”。 　在本次以“互聯網時代的上海可持續發展”為主題的大會上，重提這一目標有其深刻含義。楊雄指出，要實現這一目標必須更加深入、更加廣泛地融入互聯網、根植互聯網、深耕互聯網，走出一條依託互聯網、促進城市可持續發展的新路。 　對此，楊雄提出了具體的行動方案，楊雄認為，首先要依託互聯網，推動經濟轉型升級。上海要大力促進科技創新，激發“大眾創業、萬眾創新”新活力；要打造“互聯網＋產業”新模式，要以智慧化為主攻方向，著力培育智慧網聯汽車、工業機器人[0.26% 資金 研報]、數控機床、可穿戴設備等新興產業，全面提升製造業智慧化水準，形成一批擁有技術主導權、全產業鏈運作、躋身世界前列的新興產業集群。 　其次，上海是一座人口超過2400萬的超大型城市，城市治理的要求高、難度大。楊雄表示，上海必須依託互聯網推進城市治理制度創新、模式創新，提高治理的精細化水準。 　除了依託信息化手段，鞏固已建立起的全市一張網城市管理格局外。下一步，上海要繼續用好互聯網技術，鼓勵市民參與城市管理，進一步提高發現問題、解決問題的能力。另外還要發展智慧交通，努力構築暢達便捷的綜合交通體系；要發展電子政務，提高企業和市民辦事、創業的便利化水準；要打造資訊化、智慧化的城市安全防範體系，努力保障城市安全運行。 　此外，上海還要依託互聯網，創新公共服務。不僅要努力打造“沒有圍牆的學校”，要積極構建基於互聯網的健康服務新模式；大力普及智慧養老服務，還要加快建設觸手可及的數位文化服務網路。 【中央網路報】"
"2","America decides - first votes cast"
"3","America decides - first votes cast"
"4","Philippines drugs crackdown strains packed jails"
"5","NYC shows off anti-vote fraud technology"
"6","Sponsored"
"7","遏止全球暖化 巴黎協定生效"
"8","全球野生動物 40年消失六成"
"9","朴槿惠閨密崔順實 干政遭拘押"
"10","民主運動領袖 翁山蘇姬"
"11","Sponsored"
"12","飯店最髒的地方曝光…太驚人"
"13","第1次進他房間 背著媽媽做…"
"14","童話世界成真～房子好像彩色積木"
"15","昆汀塔倫提諾再拍兩部就退休！"
