"","x"
"1","美國總統大選即將登場，如果引起諸多爭議的共和黨川普（Donald Trump）當選會引起金融市場的擔憂嗎？簡而言之，會。不過或許沒有大家想像得那麼簡單。美國知名財經網站「銀行利率網」（Bankrate.com）資深分析師馬克．哈姆里克（Mark Hamrick）認為，華爾街不會特別偏愛哪一位候選人，因為市場不希望發生劇烈的突變。"
"2","「2016美國總統大選風傳媒特別報導專頁」"
"3","哈姆里克說：「川普如果當選總統，所帶來的巨大不確定因素很可能會讓市場出現動盪。」"
"4","聯邦調查局（FBI）局長柯密（James Comey）10月28日致函一些國會議員，表示FBI將重啟對民主黨總統候選人希拉蕊．柯林頓（Hillary Clinton）電郵門事件的調查，這一消息讓選情發生明顯變化，原本大幅領先的希拉蕊幾乎與川普打成平手。自從柯密丟出「重啟電郵門」的震撼彈後，華爾街的股價連續9天下挫。"
"5","不過，柯密6日又表示，FBI並未發現希拉蕊有任何犯罪行為，這一消息讓希拉蕊增加了贏得大選的勝算，並且讓美股價格全面上升。截至7日中午，華爾街三大股指上升約2%。"
"6","然而，儘管華爾街似乎做好了希拉蕊當選的準備，但哈姆里克認為，股市反彈的現象與黨派政治無關，而是和維持現狀有關。華爾街更喜歡華府對立的政治氣氛，因為政治的相互制衡越明顯就意味著就會比較少出現大規模的監管變動。"
"7","哈姆里克表示，如果民主黨橫掃共和黨或許會引起投資者不悅。因此儘管希拉蕊勝選不會讓華爾街感到無力招架，但哈姆里克表示「民主黨掌控參議院並且在眾議院獲得大勝或許就『有問題』了。」"
"8","儘管哈姆里克說的『橫掃』狀況不太可能發生，但他表示這樣的結果或許造成市場動盪數日。"
"9","＊本文原刊《美國之音》，原標題〈川普要真贏了，華爾街會擔心嗎？〉"
"10","NBA 精采直擊"
"11","影劇娛樂集錦"
"12","不滿查稅！　拍扁麵包師往陳菊官邸抗議"
"13","16首世大運主題曲角逐 奪冠獎金30萬"
"14","Sponsored"
"15","飯店最髒的地方曝光…太驚人"
"16","第1次進他房間 背著媽媽做…"
"17","童話世界成真～房子好像彩色積木"
"18","昆汀塔倫提諾再拍兩部就退休！"
