"","x"
"1","美國驚傳地鐵命案，一名女子在紐約42街時報廣場地鐵站等車時，突然情緒失控的把身旁一名也在等車的女乘客推落鐵軌，當場被迎面而來的列車給撞死。"
"2","涉嫌把人推下月台的，就是畫面上這名現年30歲的兇嫌，事後立刻遭到警方逮捕帶回偵訊。每天至少有20萬人流量的時報廣場地鐵站也受影響，多條線路一度停擺，多名目擊乘客也驚魂未定。紐約地鐵4年前也曾發生類似事件，兇嫌因而被判刑24年，這次再度發生命案，當局除了要釐清嫌犯與受害者間的關係外，犯案動機也要進一步調查。（民視新聞綜合報導）"
"3","路上逗狗說這句 下一秒汪星人劫車啦"
"4","純屬搞笑？穿鱷魚裝潛水真相是..."
"5","野外大白鯊出沒 下一秒驚悚片上演"
"6","不是在演電影！車開過頭倒掛空中"
"7","Sponsored"
"8","29歲無業男遊樂場拐童 坦承犯案收押"
"9","黃世銘洩密案 馬英九下午被告身分出庭"
"10","重建60年 麻豆代天府盛大舉辦慶典"
"11","台南遊樂場傳拐童案！ 女童險遭怪男擄走"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
