"","x"
"1","作者Yahoo!奇摩"
"2","美國選民華納（Sophy Warner）想把選票投給第3黨總統候選人史坦（Jill Stein），但她擔心在搖擺州俄亥俄州投下的選票，可能將把共和黨候選人川普（Donald Trump）送上白宮寶座。"
"3","路透社報導，這名20歲的克里夫蘭州立大學生物學系學生透過「防川普換票者」（Trump Traders）網站聯繫到44歲的加州共和黨籍公司律師巴魯達（Marc Baluda）。巴魯達反對川普擔任總統，打算把票投給民主黨被提名人希拉蕊．柯林頓（Hillary Clinton）。"
"4","這兩名素昧平生的同路人達成如同國會相互讓步的精明交易；華納將在選情緊繃的俄亥俄州票投希拉蕊．柯林頓，巴魯達將在加州把票投給綠黨候選人史坦，因為希拉蕊．柯林頓肯定將可贏得加州選舉人票。"
"5","已有數以萬計的選民在8日選舉日前參與「換票」交易，大多數是在防堵川普當上總統。大家無從證實選票是否依照協議投下，不過有些人將在拍照合法的州「與選票自拍」。"
"6","這樣的選票交易在美國總統選舉獨特制度占有優勢。當選人不是由全國性普選決定，選舉結果是依賴所謂的選舉人投票，除了罕見例外，選舉人都會把選票投給每一州的總統選舉勝選者。"
"7","贏得整體選舉人票選的候選人將成為總統，因此這場選戰經常受到一些州的選票左右。"
"8","像是俄亥俄州等「搖擺州」的選情陷入膠著，因為他們的選民每年意向都不同，不是支持共和黨人就是變成力挺民主黨候選人，因此具有左右選舉結果的影響力。相較之下，民調專家把加州等州當成民主黨鐵票倉。"
"9","根據共同創辦人史塔布斯（John Stubbs）統計，截至7日為止，防川普換票者網站已為4萬名選民做好配對。雖然這僅占選民一小部分，但有幾百張選票可能將在選情緊繃的州產生不同結果。"
"10","<U+00A0>"
"11","America decides - first votes cast"
"12","America decides - first votes cast"
"13","Philippines drugs crackdown strains packed jails"
"14","NYC shows off anti-vote fraud technology"
"15","Sponsored"
"16","遏止全球暖化 巴黎協定生效"
"17","全球野生動物 40年消失六成"
"18","朴槿惠閨密崔順實 干政遭拘押"
"19","民主運動領袖 翁山蘇姬"
"20","Sponsored"
"21","飯店最髒的地方曝光…太驚人"
"22","第1次進他房間 背著媽媽做…"
"23","童話世界成真～房子好像彩色積木"
"24","昆汀塔倫提諾再拍兩部就退休！"
