"","x"
"1","（中央社台北8日電）BBC中文網今天報導，梵蒂岡昨天發表聲明，譴責一名中國地下天主教會神職人員自我任命成為主教的行為是觸犯教法的嚴重罪行。聲明強調，梵蒂岡從未批准任何有關祝聖行為，也未被正式通知。"
"2","    報導指出，有分析認為，梵蒂岡發出聲明是要緩和與大陸當局的關係。"
"3","    英國廣播公司（BBC）中文網引述聲明指出，大陸河北省神父董冠華（Dong Guanhua，音譯）今年9月，在沒有經過教宗核准的情況下，自封主教並向其他人發布任命。報導指出，董冠華在今年5月，在彌撒中宣佈自己已祝聖為主教，並在9月的活動中頭戴主教禮冠、手持權杖展現主教身份。"
"4","    報導表示，這名神父的舉動受到中國大陸其它地下教會神職人員的譴責。梵蒂岡聲明則表示，即便類似舉動是源自「特定的個人信仰」，但任何未經教宗委派的自我任命行為都將被視為非法。"
"5","    外媒先前報導，梵蒂岡與中國代表進行秘密會面，將承認部分由中方任命的主教。"
"6","    報導指出，大陸當局準備在年底前至少任命2名新主教，任命將會得到梵蒂岡的認可。此外，梵蒂岡將會承認4名由大陸過去自行任命的主教，部分人士曾經在梵蒂岡代表8月中到北京進行破冰訪問時參與會談。"
"7","    這4名中國主教包括：擔任大陸官方教會－中國天主教主教團主席和中國天主教愛國會副主席的雲南昆明主教馬英林，另外3人分別為河北承德主教郭進才、黑龍江省哈爾濱主教岳福生，以及河南蒲圻主教涂世華。1051108"
"8","America decides - first votes cast"
"9","America decides - first votes cast"
"10","Philippines drugs crackdown strains packed jails"
"11","NYC shows off anti-vote fraud technology"
"12","Sponsored"
"13","遏止全球暖化 巴黎協定生效"
"14","全球野生動物 40年消失六成"
"15","朴槿惠閨密崔順實 干政遭拘押"
"16","民主運動領袖 翁山蘇姬"
"17","Sponsored"
"18","飯店最髒的地方曝光…太驚人"
"19","第1次進他房間 背著媽媽做…"
"20","童話世界成真～房子好像彩色積木"
"21","昆汀塔倫提諾再拍兩部就退休！"
