"","x"
"1","（中央社紐約7日綜合外電報導）美國大選進入最後倒數階段，民主黨候選人希拉蕊．柯林頓勝選呼聲高，激勵股市飆漲，全球富豪身家也水漲船高，一天之內增加370億美元（約新台幣1兆1732億元）。"
"2","    彭博報導，紐約時間下午1時45分，彭博億萬富翁指數（Bloomberg Billionaires Index）上漲了0.9%，來到4.4兆美元。"
"3","    亞馬遜公司（Amazon.com）創辦人貝佐斯（JeffBezos）、股神巴菲特（Warren Buffet）和墨西哥電信鉅子史林（Carlo Slim）的財富都在1天內，增加超過10億美元。（譯者：中央社劉淑琴）1051108"
"4","America decides - first votes cast"
"5","America decides - first votes cast"
"6","Philippines drugs crackdown strains packed jails"
"7","NYC shows off anti-vote fraud technology"
"8","Sponsored"
"9","遏止全球暖化 巴黎協定生效"
"10","全球野生動物 40年消失六成"
"11","朴槿惠閨密崔順實 干政遭拘押"
"12","民主運動領袖 翁山蘇姬"
"13","Sponsored"
"14","飯店最髒的地方曝光…太驚人"
"15","第1次進他房間 背著媽媽做…"
"16","童話世界成真～房子好像彩色積木"
"17","昆汀塔倫提諾再拍兩部就退休！"
