"","x"
"1","美國總統大選將從台北時間今晚（8日）開始投票，而FBI維持不起訴希拉蕊的電郵案後，也激勵了美股飆升，"
"2","道瓊工業指數大漲371點，漲幅2.08%，最後以18259點作收。那史達克上漲2.37%，標普500漲幅則為2.22%。近期美選民調陷入拉鋸，讓全球投資人相當憂心，而在FBI洗清希拉蕊的電郵疑雲後，不僅美股止跌回升，掃除華爾街一連9天的愁雲慘霧，包括英、德、法等歐洲主要股市在內，也受到鼓舞大漲近2%左右。分析師認為，選前最後一個交易日的反彈，應該是市場看好希拉蕊當選後，可能出現的利多。（民視新聞綜合報導）"
"3","<U+00A0>"
"4","America decides - first votes cast"
"5","America decides - first votes cast"
"6","Philippines drugs crackdown strains packed jails"
"7","NYC shows off anti-vote fraud technology"
"8","Sponsored"
"9","遏止全球暖化 巴黎協定生效"
"10","全球野生動物 40年消失六成"
"11","朴槿惠閨密崔順實 干政遭拘押"
"12","民主運動領袖 翁山蘇姬"
"13","Sponsored"
"14","飯店最髒的地方曝光…太驚人"
"15","第1次進他房間 背著媽媽做…"
"16","童話世界成真～房子好像彩色積木"
"17","昆汀塔倫提諾再拍兩部就退休！"
