"","x"
"1","（中央社記者尹俊傑北京8日電）導演李安帶著新作「比利．林恩的中場戰事」造訪北京，昨晚與中國大陸導演馮小剛對談時，李安開玩笑說，自己除了拍電影，「大概就是燒燒菜，被太太數落一下」。"
"2","    中新網報導，「比」片7日晚間在北京清華大學舉辦活動，安排李安和馮小剛對談，大陸導演賈樟柯擔任嘉賓主持。對談過程中，3名導演互動不斷，氣氛輕鬆。"
"3","    談到使用每秒120格、4K畫質、3D影像的初衷，李安說，片中的比利．林恩看到什麼就會在腦中思索，這代表中年知識分子銳利的觀察，而腦海裡的東西影像上看不到，所以用新的媒體表達很契合。"
"4","    對於電影技術突破，李安強調，電影是為人物、故事、戲劇性服務，形式與內容同等重要。「電影已經很久沒有改革了，這部電影作為一個新的開始吧。」"
"5","    「比」片和馮小剛執導的「我不是潘金蓮」都預定11月在大陸上映，兩部片也都嘗試新的表現形式。李安採用史無前例的每秒120格拍攝技術，馮小剛則嘗試使用圓形遮罩呈現畫面。"
"6","    李安說，和馮小剛都是愛電影的人，手上觸摸到電影就充實，沒有電影就不知道怎麼自處。"
"7","    他還開玩笑說，「小剛導演你沒有電影還可以畫畫，我除了拍電影，大概就是燒燒菜，被太太數落一下。」1051108"
"8","NBA 精采直擊"
"9","影劇娛樂集錦"
"10","不滿查稅！　拍扁麵包師往陳菊官邸抗議"
"11","16首世大運主題曲角逐 奪冠獎金30萬"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
