"","x"
"1","美國民主黨總統候選人希拉蕊‧柯林頓(Hillary Clinton)陣營1名助理表示，約4萬名群眾7日湧入費城的美國獨立紀念館(Independence Mall)，參加希拉蕊的造勢活動，同時希拉蕊的夫婿柯林頓(Bill Clinton)、歐巴馬總統與妻子蜜雪兒也都出席這場造勢活動。"
"2","搖滾歌手布魯斯史普林斯汀(Bruce Springsteen)與邦喬飛(Jon Bon Jovi)都在費城這場活動上表演。這是希拉蕊選前最後一天的倒數第二場群眾造勢活動。"
"3","競選助理向隨行記者表示，這次的參與人數創下了希拉蕊陣營的新紀錄，先前的紀錄是在俄亥俄州的1場造勢活動，吸引了1萬8,500人參加。"
"4","<U+00A0>"
"5","America decides - first votes cast"
"6","America decides - first votes cast"
"7","Philippines drugs crackdown strains packed jails"
"8","NYC shows off anti-vote fraud technology"
"9","Sponsored"
"10","遏止全球暖化 巴黎協定生效"
"11","全球野生動物 40年消失六成"
"12","朴槿惠閨密崔順實 干政遭拘押"
"13","民主運動領袖 翁山蘇姬"
"14","Sponsored"
"15","飯店最髒的地方曝光…太驚人"
"16","第1次進他房間 背著媽媽做…"
"17","童話世界成真～房子好像彩色積木"
"18","昆汀塔倫提諾再拍兩部就退休！"
