"","x"
"1","（中央社莫斯科7日綜合外電報導）莫斯科市區一家紀念品店的老闆表示，美國總統大選前一天，用總統候選人川普（Donaid Trump）肖像製作的傳統俄羅斯娃娃，在收藏家和遊客之間人氣大增。"
"2","路透社報導，尺寸逐漸遞減的木偶娃娃一個套一個組成，是俄羅斯國內最受歡迎的紀念品。"
"3","店員愛德華表示，「收藏家最近超愛買它，外國觀光客也很喜歡」。"
"4","今天店裡並未看到美國民主黨候選人希拉蕊．柯林頓（Hillary Clinton）畫像的俄羅斯娃娃。"
"5","俄羅斯娃娃一般都被畫成穿著俄羅斯傳統服裝的農家女孩。現代版本則經常出現電影明星、歌手、卡通或是政治人物。"
"6","莫斯科各地的紀念品店，很容易找到政治人物畫像的俄羅斯娃娃，俄國總統蒲亭（Vladimir Putin）、德國總理梅克爾（Angela Merkel）或過去的國家導領人。"
"7","義大利觀光客伊蘭娜（Elena）告訴記者： 「我昨天看到川普娃娃，我自問為什麼？，我不明白的是，他又還沒有當選總統，也許俄國人認為他已是新任美國總統了吧！」。（譯者：中央社蔡筱穎）1051108"
"8","<U+00A0>"
"9","America decides - first votes cast"
"10","America decides - first votes cast"
"11","Philippines drugs crackdown strains packed jails"
"12","NYC shows off anti-vote fraud technology"
"13","Sponsored"
"14","遏止全球暖化 巴黎協定生效"
"15","全球野生動物 40年消失六成"
"16","朴槿惠閨密崔順實 干政遭拘押"
"17","民主運動領袖 翁山蘇姬"
"18","Sponsored"
"19","飯店最髒的地方曝光…太驚人"
"20","第1次進他房間 背著媽媽做…"
"21","童話世界成真～房子好像彩色積木"
"22","昆汀塔倫提諾再拍兩部就退休！"
