"","x"
"1","（中央社台北8日電）中國大陸7日通過「網路安全法」，當中規定「因維護國家安全和社會公共秩序，處置重大突發社會安全事件的需要，經國務院決定或者批准，可以在特定區域對網絡通信採取限制等臨時措施」。"
"2","    新華社報導，大陸第12屆全國人民代表大會常務委員會第24次會議表決通過「中華人民共和國網絡安全法」，對建立網路安全監測預警與應急處置制度專門列出一章作出規定，明確發生網路安全事件時，有關部門可採取限制通訊措施。"
"3","    中國信息安全研究院副院長左曉棟舉例稱，「恐怖分子愈來愈多地通過網絡進行組織、策劃、勾連、活動，這個時候可能就要對網絡通信進行管制」。"
"4","    此外，網路安全法規定，「境外的個人或者組織」從事攻擊、侵入、干擾、破壞等危害關鍵資訊基礎設施的活動，造成嚴重後果的，依法追究法律責任；大陸國務院公安部門和有關部門並可以決定對個人或者組織採取凍結財產或者其他必要的制裁措施。"
"5","    此外，網路安全法也禁止網路經營者非法取得或出售用戶個資、懲罰相關網路詐騙，並要求網路營運商不得為未實名的用戶提供服務等。1051108"
"6","America decides - first votes cast"
"7","America decides - first votes cast"
"8","Philippines drugs crackdown strains packed jails"
"9","NYC shows off anti-vote fraud technology"
"10","Sponsored"
"11","遏止全球暖化 巴黎協定生效"
"12","全球野生動物 40年消失六成"
"13","朴槿惠閨密崔順實 干政遭拘押"
"14","民主運動領袖 翁山蘇姬"
"15","Sponsored"
"16","飯店最髒的地方曝光…太驚人"
"17","第1次進他房間 背著媽媽做…"
"18","童話世界成真～房子好像彩色積木"
"19","昆汀塔倫提諾再拍兩部就退休！"
