"","x"
"1","楊千霈拍婚紗 砸40萬元巴黎耍靚"
"2","楊千霈周五將與桃園紡織小開洪家傑在台北晶華酒店補辦婚宴，2人今年3月31日登記結婚，《蘋果》搶先取得他們遠赴巴黎拍攝的浪漫婚紗照。"
"3","楊千霈透露，「去巴黎」是老公追求她的攻略之一，「他說要追我追到巴黎。因為有1次我去巴黎工作，他因為工作不能來，我一直拿這件事說嘴」。老公日前瞞著她自拍影片，還偷偷找她的好友幫忙驚喜求婚，讓她感動落淚。"
"4","楊千霈找了替她量身打造三金典禮紅毯禮服的MSIDEAS幫她設計白紗，一系列共5套禮服，以「戲劇」為設計靈感，展現不同年代的劇場名伶風格。"
"5","洪家傑（右）上周下跪向楊千霈（左）求婚，令她驚喜落淚。她和老公在巴黎的街頭咖啡館、富麗堂皇的歌劇院，一路拍到百年CARTIER旗艦店，巴黎近郊的古老莊園也入鏡，共花費40萬元。"
"6","當地溫差頗大，拍照時她冷得發抖，沒想到老公拍起照來比她專業。楊千霈笑說：「行前我一直教育他，結果反而是我被攝影師念說妳認真點好不好？」對她來說，這趟巴黎行形同蜜月，「畢竟我們已經登記了，平常工作忙，不可能像婚前談戀愛那樣浪漫，這次去巴黎重溫戀愛的感覺。」。"
"7","她曾「抱怨」老公還欠她一個求婚，結果老公上周驚喜求婚，讓她直呼意外。「最近都在忙婚禮，沒想到他在策劃這件事。當天他騙我說要帶我去開會討論婚禮，後來說要去上廁所，我還想說怎麼去這麼久？」，周五席開52桌，後來服務生把她帶到另一個包廂，她發現好友們都聚在包廂裡，「原來老公趁我不在家先錄好求婚影片，當天他放影片給大家看，然後下跪求婚，我哭到不行！」。"
"8","婚宴預計席開52桌，走溫馨浪漫路線，不想太奢華。她說：「因為長輩低調，我老公又環保，希望到時大家來分享我們的喜悅。」。"
"9","照片中，楊千霈一身復古禮服，俏皮和洪家傑在巴黎市區拍婚紗照，另外這張與老公在巴黎鐵塔前取景，老公摟住她的腰，幸福洋溢。   【更多新聞詳情請上 news.cts.com.tw 華視新聞】"
"10","NBA 精采直擊"
"11","影劇娛樂集錦"
"12","不滿查稅！　拍扁麵包師往陳菊官邸抗議"
"13","16首世大運主題曲角逐 奪冠獎金30萬"
"14","Sponsored"
"15","飯店最髒的地方曝光…太驚人"
"16","第1次進他房間 背著媽媽做…"
"17","童話世界成真～房子好像彩色積木"
"18","昆汀塔倫提諾再拍兩部就退休！"
