"","x"
"1","（中央社紐約8日綜合外電報導）美國總統選舉倒數1天，為防堵川普入主白宮，有些選民上網換票，最受歡迎的「防川普換票者」（Trump Traders）與「#絕對別投川普」（#NeverTrump）已促成交換5萬多張票。"
"2","選民華納（Sophy Warner）想把選票投給第3黨總統候選人史坦（Jill Stein），但她擔心在搖擺州俄亥俄州投下的選票，可能將幫助共和黨候選人川普（Donald Trump）坐上白宮寶座。"
"3","因此，這名20歲的克里夫蘭州立大學生物學系學生透過「防川普換票者」網站聯繫到44歲的加州共和黨籍公司律師巴魯達（Marc Baluda）。巴魯達反對川普擔任總統，打算把票投給民主黨被提名人希拉蕊．柯林頓（Hillary Clinton）。"
"4","這兩名素昧平生的同路人達成如同國會相互讓步的精明交易；華納將在選情緊繃的俄亥俄州票投希拉蕊．柯林頓，巴魯達將在加州把票投給綠黨候選人史坦，因為希拉蕊．柯林頓肯定將可贏得加州選舉人票。"
"5","路透社報導，已有數以萬計的選民在明天選舉日前參與「換票」交易，大多數是在防堵川普當上總統。大家無從證實選票是否依照協議投下，不過有些人將在拍照合法的州「與選票自拍」。"
"6","這樣的選票交易在美國總統選舉獨特制度占有優勢。當選人不是由全國性普選決定，選舉結果是依賴所謂的選舉人投票，除了罕見例外，選舉人都會把選票投給每一州的總統選舉勝選者。"
"7","贏得整體選舉人票選的候選人將成為總統，因此這場選戰經常受到一些州的選票左右。"
"8","像是俄亥俄州等「搖擺州」的選情陷入膠著，因為他們的選民每年意向都不同，不是支持共和黨人就是變成力挺民主黨候選人，因此具有左右選舉結果的影響力。相較之下，民調專家把加州等州當成民主黨鐵票倉。"
"9","根據共同創辦人史塔布斯（John Stubbs）統計，截至昨天為止，防川普換票者網站已為4萬名選民做好配對。雖然這僅占選民一小部分，但有幾百張選票可能將在選情緊繃的州產生不同結果。"
"10","這樣的做法似乎合法。舊金山聯邦第9巡迴上訴法院2007年裁定，即使有些人不同意這樣的做法，交換選票還是受到言論自由保護。"
"11","美國專業財經頻道CNBC報導，矽谷企業家庫瑪（Amit Kumar）推出「#絕對別投川普」（#NeverTrump）手機應用程式，他說反應相當熱烈。"
"12","庫瑪說，這個app已經下載了2萬次，約有8000名活躍使用者使用。與防川普換票者網站相加起來，截至昨晚已協助交換5萬多張選票，其中1萬2000多張是在關鍵的搖擺州。（譯者：中央社張曉雯）1051108"
"13","<U+00A0>"
"14","America decides - first votes cast"
"15","America decides - first votes cast"
"16","Philippines drugs crackdown strains packed jails"
"17","NYC shows off anti-vote fraud technology"
"18","Sponsored"
"19","遏止全球暖化 巴黎協定生效"
"20","全球野生動物 40年消失六成"
"21","朴槿惠閨密崔順實 干政遭拘押"
"22","民主運動領袖 翁山蘇姬"
"23","Sponsored"
"24","飯店最髒的地方曝光…太驚人"
"25","第1次進他房間 背著媽媽做…"
"26","童話世界成真～房子好像彩色積木"
"27","昆汀塔倫提諾再拍兩部就退休！"
