"","x"
"1","美國總統大選進入最後關頭，下任總統人選即將揭曉，回顧整個選舉過程，民主黨總統候選人希拉蕊（Hillary Clinton）及共和黨總統候選人川普（Donald Trump）真是美國史上最糟候選人嗎？向來口不擇言的川普難道沒有提出任何正面政策？另外，美國總統並非人民直選，而是透過選舉人團選出，美國選民又是怎麼看待這個制度呢？風傳媒訪問6位美國公民，帶領讀者從選民角度看待這場選舉。"
"2","「2016美國總統大選風傳媒特別報導專頁」"
"3","【延伸閱讀】美國總統大選Q&A》投票倒數最後一天還是霧煞煞？美國總統到底怎麼選"
"4","這次總統大選堪稱是美國史上最糟糕的選舉，媒體也稱希拉蕊和川普是史上最爛候選人，但接受風傳媒訪問的6位選民全都不認同這項說法，來自密西根州的31歲商務分析師S先生表示，美國歷史上還出現過蓄奴、屠殺印地安人，以及投下原子彈的總統。"
"5","來自麻薩諸塞州的26歲選民約瑟夫也列舉出數名前總統，包括民主黨創建者之一的傑克森（Andrew Jackson）、共和黨籍前總統哈定（Warren G. Harding），及民主黨籍前總統詹森（Lyndon Johnson）都能輕易被指出開空頭支票，或是施政錯誤，而希拉蕊和川普到底是不是近代最爛的總統人選，則有待歷史評鑑。"
"6","希拉蕊與華爾街權貴關係密切，川普對移民及穆斯林充滿歧視，使得政商勾結、種族歧視等問題整個攤在美國大眾面前，約瑟夫直言，希拉蕊和川普掀起的議題讓美國社會更加分裂，並感嘆人民認為政治人物會找到解決辦法，因此不會花心思去省思整個問題。"
"7","不過來自密西根州的軟體設計師伊森相信，這些問題在短期內會引發議論，且長期來看或許能找出解決之道，他以同性婚姻為例，強調同志權利現今也成了主流意識，而來自德州的牙醫傑克則說，想要解決這些問題，就必須把問題放在大眾面前，提升民眾對相關議題的關注，並思考解決方案。"
"8","【延伸閱讀】男女平等路迢迢》川普公然羞辱女性 美國性別歧視仍無所不在"
"9","對於川普提出的政見看法，部分受訪者認為禁止穆斯林入境美國是最糟的政見，而S民眾直言，川普根本沒有提出任何政見，所以沒有好壞選擇，不過伊森表示，川普提出限縮工作簽證（H1B）或許是好的政見，因為聘用持有H1B簽證的員工可以節省人事開支（薪資部分），這使得原有的工作受到威脅，而他並不樂見這樣的情況繼續下去。"
"10","目前在台灣就讀翻譯研究所的戴明陸表示，川普對國際貿易協定及規範遊說的態度是對的，而且川普也表明要遏止官商勾結的狀況，至於希拉蕊提出的政見，戴明陸坦言希拉蕊態度不定，因此不用太過認真看待她提出的方案，而S先生也說，希拉蕊開出最爛的政見就是課徵富人稅，因為她說的跟做的不會一致。但希拉蕊仍有政見受到選民青睞，約瑟夫和伊森都說，希拉蕊提出免除學貸的政見非常好，而且會對經濟有長期的正面效益。"
