"","x"
"1","美國總統大選進入倒數計時，雙方陣營的競爭也進入白熱化，共和黨候選人川普的競選總部前，就上演了嚴重的叫囂推擠衝突，甚至還需要維安警察出來制止，而民進黨目前有觀選團在美國進行考察，也都親身感受到美國的選戰氣氛。"
"2","Donald Trump的競選總部Trump Tower前兩方支持者嗆聲不停歇還一波接一波，那怕言論自由但吵成這樣連負責維安的警察都實在看不下去，投票進入倒數計時，雙方的競爭也越來越白熱化，Trump Tower前天天有人在支持在抗議，支持的唱歌跳舞喊口號，反對的直接旁邊賣起嗆聲T-Shirt，這裡頭有川普外頭也有川普，一個選舉場合有緊張有搞笑，簡直把綜藝舞台擺上第五大道，雙方陣營的歧見也是越來越分裂，"
"3","希拉蕊支持者：「我並沒有對希拉蕊狂熱，但川普是個種族歧視者，他是個性別歧視者，他批評所有的人，只有一個宗教，把女性當成玩笑，他嘲笑肢障者，他對窮人沒有同情，他是個性格卑劣的人。」"
"4","川普支持者：「這是個信任問題，我不相信希拉蕊，我追蹤她的談話，追蹤川普的談話，我不認為希拉蕊非常坦誠，非常坦白的強烈的揭露，她電郵門所犯的錯誤。」"
"5","民視記者林子皓：「川普塔前的叫囂，仍然在持續當中，而民進黨的觀選團，就在紐約進行參訪，他們也有機會體驗到，甚麼叫民主的氛圍。」"
"6","民進黨觀選團長蔡憲浩：「應該說得很簡短非常緊張非常刺激。」"
"7","躬逢其盛，民進黨的觀選團目前就在紐約，雖然大都以拜訪議員選舉為主，但這種選戰氛圍它們實地體驗。"
"8","民進黨觀選團長蔡憲浩：「我們這次觀選團最主要是來看，民主和共和兩黨的，選舉整個過程，我們這次的團員，也都是黨的重要幹部，跟外交國防，一些委員的高級幕僚一起，希望在這次的觀選團，可以看到美國運作的方面，值得我們可以學習的地方。」"
"9","不到72小時倒數，新的白宮主人是誰，雙方拚到最後一刻。（民視新聞林子皓美國紐約報導）"
"10","<U+00A0>"
"11","America decides - first votes cast"
"12","America decides - first votes cast"
"13","Philippines drugs crackdown strains packed jails"
"14","NYC shows off anti-vote fraud technology"
"15","Sponsored"
"16","遏止全球暖化 巴黎協定生效"
"17","全球野生動物 40年消失六成"
"18","朴槿惠閨密崔順實 干政遭拘押"
"19","民主運動領袖 翁山蘇姬"
"20","Sponsored"
"21","飯店最髒的地方曝光…太驚人"
"22","第1次進他房間 背著媽媽做…"
"23","童話世界成真～房子好像彩色積木"
"24","昆汀塔倫提諾再拍兩部就退休！"
