"","x"
"1","（法新社華盛頓7日綜合外電報導）今天出爐的一項研究發現，軟體機器人發送大量推文，力挺美國共和黨總統候選人川普，扭曲了川普在社群網站推特的支持度。"
"2","美國南加大電腦科學家的研究發現，川普（DonaldTrump）和希拉蕊‧柯林頓（Hillary Clinton）皆獲得「機器人」的力挺推文，但川普獲得更多機器人推文的支持。"
"3","研究人員貝西（Alessandro Bessi）和費拉拉（Emilio Ferrara ）在今天出刊的線上期刊「FirstMonday」上寫道：「機器人發送連串推文，表達支持，迥異於今年總統大選充斥負面新聞的基調，著實令人難以置信。」"
"4","研究指出：「機器人有系統發送正面訊息，力挺某位候選人，恐造成偏差的看法，認為某特定候選人獲得基層群眾的支持，但實際上，這全是人工打造出來的。」"
"5","研究人員分析了將近280萬用戶在9月16日至10月21日發送的2000萬則推文，推估其中有超過40萬個帳號「可能屬於機器人」所有。"
"6","這些機器人占推特帳號的比重近15%，發送了380萬則推文，占所有對話比重近19%。"
"7","根據研究，有關川普的機器人推文幾乎全是正面訊息，反觀有關希拉蕊的機器人推文，僅半數是正面訊息，其他半數推文則都在砲轟她。"
"8","使用有系統發送的推文和訊息恐歪曲推特的「熱門」（trending）話題，讓川普和川普的鐵粉據此宣稱他們贏得總統辯論。"
"9","研究人員說：「我們的研究顯示，社群媒體機器人的問世不但無法完善民主政治討論，反而造成不利影響。影響所及，可能改變輿論、危及總統大選的整體性。」（譯者：中央社趙蔚蘭）"
"10","<U+00A0>"
"11","America decides - first votes cast"
"12","America decides - first votes cast"
"13","Philippines drugs crackdown strains packed jails"
"14","NYC shows off anti-vote fraud technology"
"15","Sponsored"
"16","遏止全球暖化 巴黎協定生效"
"17","全球野生動物 40年消失六成"
"18","朴槿惠閨密崔順實 干政遭拘押"
"19","民主運動領袖 翁山蘇姬"
"20","Sponsored"
"21","飯店最髒的地方曝光…太驚人"
"22","第1次進他房間 背著媽媽做…"
"23","童話世界成真～房子好像彩色積木"
"24","昆汀塔倫提諾再拍兩部就退休！"
