"","x"
"1","（法新社紐約7日電） 由於美國聯邦調查局（FBI）在電郵調查案中為總統候選人希拉蕊．柯林頓洗脫罪嫌，全球股市反彈，美股今天也隨之大漲2%以上。"
"2","分析師形容，今天的行情是在總統大選前最後1個交易日的鬆口氣反彈。"
"3","蒙特婁私人銀行（BMO Private Bank）投資長艾布林（Jack Ablin）說：「既然聯調局調查電郵案的不確定性已消除，投資人認為，希拉蕊明天將當選總統。」"
"4","道瓊工業指數飆漲371.32點或2.08%，以18259.60點作收。"
"5","標準普爾指數漲46.34點或2.22%，收在2131.52點。"
"6","科技股那斯達克指數漲119.80點或2.37%，收5166.17點。"
"7","<U+00A0>"
"8","America decides - first votes cast"
"9","America decides - first votes cast"
"10","Philippines drugs crackdown strains packed jails"
"11","NYC shows off anti-vote fraud technology"
"12","Sponsored"
"13","遏止全球暖化 巴黎協定生效"
"14","全球野生動物 40年消失六成"
"15","朴槿惠閨密崔順實 干政遭拘押"
"16","民主運動領袖 翁山蘇姬"
"17","Sponsored"
"18","飯店最髒的地方曝光…太驚人"
"19","第1次進他房間 背著媽媽做…"
"20","童話世界成真～房子好像彩色積木"
"21","昆汀塔倫提諾再拍兩部就退休！"
