"","x"
"1",""
"2","美國總統大選進入最後倒數計時，紐約股市三大指數7日反彈收漲。美國聯邦調查局（FBI）6日宣布維持不建議就「電郵件門」起訴民主黨候選人希拉蕊．柯林頓的結論。該消息降低了市場對於8日美國總統選舉不確定性的擔憂，投資者擔心共和黨候選人川普可能當選、顛覆國際經貿秩序的緊張情緒有所緩解。"
"3","摩根大通分析師7日在一份報告中表示，如果希拉蕊贏得大選，標準普爾500種股票指數將升至2150點左右，歐洲和新興市場股市將分別上漲3%和4%。先前川普選情看好，華爾街一片愁雲慘霧，連續9天萎靡不振，創35年以來最嚴重的低潮。"
"4","7日當天收盤，道瓊工業平均指數大漲371.32點，收於18259.60點，漲幅2.08%。標準普爾500種股票指數上揚46.34點，收於2131.52點，漲幅2.22%。納斯達克綜合指數大漲119.80點，收於5166.17點，漲幅2.37%。"
"5","倫敦股市《金融時報》100種股票平均價格指數7日報收6806.90點，上漲113.64點，漲幅1.70%。法國巴黎股市CAC40指數報收於4461.21點，上漲83.75點，漲幅1.91%；德國法蘭克福股市DAX指數報收於10456.95點，上漲197.82點，漲幅1.93%。。"
"6","截至當日收盤，紐約商品交易所12月交貨的西德州中級原油期貨價格上漲0.82美元，收於每桶44.89美元，漲幅1.86%。2017年1月交貨的北海布蘭特原油期貨價格上漲0.57美元，收於每桶46.15美元，漲幅1.25%。"
"7","相關報導 ● 猜題拿好禮！關注2016美國總統大選看這裡，最新、最完整訊息報你知 ● 2016美國總統大選》川普當選的話……美國恐怖大師史蒂芬金：嚇死寶寶了！我要搬到加拿大！"
"8","<U+00A0>"
"9","NBA 精采直擊"
"10","影劇娛樂集錦"
"11","不滿查稅！　拍扁麵包師往陳菊官邸抗議"
"12","16首世大運主題曲角逐 奪冠獎金30萬"
"13","Sponsored"
"14","飯店最髒的地方曝光…太驚人"
"15","第1次進他房間 背著媽媽做…"
"16","童話世界成真～房子好像彩色積木"
"17","昆汀塔倫提諾再拍兩部就退休！"
