"","x"
"1","　　美國總統大選將於本週登場，隨著選情陷入膠著，市場瀰漫著濃濃觀望氣氛，上週外資普遍賣超亞股。其中，以台灣、南韓失血最為慘重，分別遭資金調節6.73億美元及2.93億美元，而東協股市也有0.11~2.36億美元不等的資金流出，導致上週亞股全盤皆墨，跌幅普遍在2%左右。"
"2","　　不過，拉長全年來看，國際資金依舊青睞亞洲股市，今(2016)年來幾乎全面買超新興亞股，特別是東北亞雙雄台韓股市的吸金力道，分別位居亞股冠亞軍寶座，東協市場也全面獲資金青睞，推升亞股今年來累計漲幅凌厲，尤其泰國與印尼雙雙繳出逾15%的年漲幅，表現最為亮眼"
"3","　　台股上週大失血，摩根台灣金磚基金經理人葉鴻儒指出，外界相當關注美國大選動態，市場預期希拉蕊若勝選，有助激勵台股上演短線慶祝行情，但年底美國聯準會是否宣布升息也備受全球關注，升息步伐快慢將成為另一個影響台股表現的重要因素，也將左右外資對台股等新興市場的態度。"
"4","　　葉鴻儒認為，若是川普上台，可能引發全球金融市場大震盪，屆時台股可能再走一波修正。由於市場對於川普處理國際關係方式持保留態度，增添政治形態上的不確定，且長線來看，川普的保護主義不利全球經貿發展。"
"5","　　南韓部分，安聯亞洲動態策略基金經理人許志偉表示，受到閨蜜干政影響，南韓總統朴槿惠的支持率降至5%，創韓國歷屆最低支持率紀錄。儘管朴槿惠試圖為醜聞事件止血，提名一位新總理及兩位內閣成員，但仍無法捥回民眾信心，使得南韓股市連兩週遭外資超賣。在類股表現方面，表現較優異是製造業中的汽車和電子產品需求成長，而服務業和營造業的表現較為疲弱。"
"6","　　許志偉進一步分析，政治事件的干擾僅為一時，相信在閨蜜干政事件落幕，且新總理與內閣成員出任後，此事件對於股市的影響將會減緩，南韓仍將受惠於科技資本支出，科技股有表現的機會。"
"7","　　展望亞股後市，富蘭克林坦伯頓亞洲小型企業基金經理人馬克‧墨比爾斯指出，新興國家經濟成長增速加快的轉折點已經出現，在國內成長動能加速、實質利率水準偏低、政策或政治環境支撐之下，可望帶動企業獲利前景改善；據摩根大通(10/20)預估明(2017)年新興市場企業獲利成長率將升至13%，目前看好印度、南韓、印尼與泰國等亞洲國家企業獲利，將有優於市場預期的表現。"
"8","亞洲主要股市外資買賣超情形，如下表："
"9","<U+00A0>"
"10","America decides - first votes cast"
"11","America decides - first votes cast"
"12","Philippines drugs crackdown strains packed jails"
"13","NYC shows off anti-vote fraud technology"
"14","Sponsored"
"15","遏止全球暖化 巴黎協定生效"
"16","全球野生動物 40年消失六成"
"17","朴槿惠閨密崔順實 干政遭拘押"
"18","民主運動領袖 翁山蘇姬"
"19","Sponsored"
"20","飯店最髒的地方曝光…太驚人"
"21","第1次進他房間 背著媽媽做…"
"22","童話世界成真～房子好像彩色積木"
"23","昆汀塔倫提諾再拍兩部就退休！"
