"","x"
"1","距離年底還有不到2個月的時間，今年大陸的經濟目標能否達成，成為各方關注的重點。同樣備受關注的還有即將召開的中央經濟工作會議，會議將對明年經濟政策走向作出部署。 　“供給側結構性改革”這一熱門詞語就是由去年的中央經濟工作會議正式提出。記者注意到，從近期發佈的前三季度經濟資料來看，已取得一定成效與進展。 　11月6日，在“國研智庫論壇‧2016年會”上，國務院發展研究中心主任李偉表示，一年來，供給側結構性改革取得了成效。但也要清醒地認識到，供給側結構性改革目標還遠未完成，下一步要繼續加大推進。同時，李偉指出，從更長時期和深層次來看，經濟增長的新動力尚未形成。當前，中國大陸經濟最突出的結構性矛盾之一，就是虛擬經濟與實體經濟的脫節：金融領域和房地產領域出現了資產泡沫現象，非實體經濟聚集了過多的發展資源，嚴重削弱了增長新動力賴以形成的基礎。 　供給側結構性改革目標還遠未完成 　一系列資料均能表明供給側結構性改革已取得成效。 　 “三去”方面，資料顯示，截至9月末，鋼鐵、煤炭行業業已退出的產能達到全年目標的80%以上，規模以上工業企業產成品存貨同比下降0.8%，商品房待售面積較2015年末減少2241萬平方米，規模以上工業企業資產負債率同比下降0.6個百分點。 　降成本方面，今年前三季度，規模以上工業企業每百元主營業務收入中的成本比上年同期減少0.24元。 　補短板方面，前三季度，生態保護和環境治理、水利管理、農林牧漁業投資同比增長分別高於全部投資35.2、12.3和11.9個百分點。 　此外，產業結構接續改善，資料顯示，第三產業占國內生產總值比重比上年同期提高1.6個百分點；高技術產業增加值增速比規模以上工業快4.6個百分點。 　在看到成績的同時，李偉指出，要清醒地認識到，供給側結構性改革目標還遠未完成。煤炭、鋼鐵行業的一些落後產能還未被真正淘汰，三四線城市房地產庫存規模依然很大，企業部門杠杆率還需要進一步下降，企業成本尚有進一步降低的空間，城市基礎設施和欠發達地區的基礎設施還需要大力建設。 　大陸國務院發展研究中心副主任張軍擴在會上表示，經濟增長的積極因素在增多，經濟企穩的跡象更加顯著。但經濟的企穩回升的基礎還不牢固，下行的壓力不小。中國大陸經濟是否有穩固的基礎，還是取決於改革。 　張軍擴舉例說，實際上大陸很多領域是有投資需求的，特別城鄉基礎設施方面有很大的投資需求，如農村危房改造等方面，有很多地震帶上的住房，一旦發生地震，生命財產將會受損。同時，大陸鋼材水泥大量過剩。如果這方面的需求得到釋放，就能改善兩端。但是這其中又牽扯到農村建設用地制度、投融資改革制度的推進等問題。 　另外，在要素供給上，張軍擴表示，大陸經濟進入新階段，勞動力成本有大幅度提高，高於非洲東南亞，但與歐美來講，還是低得多的。企業回饋成本高，是受其他方面成本高所影響，這也使得勞動力資源優勢難以發揮。 　他講述了一個案例，一個東莞生產陶瓷的企業，到美國投資後發現，在美國投資生產的陶瓷成本低於國內20%到30%。企業發現，美國成本低不是低在勞動力，而主要在低於電力、天然氣等成本上，這方面的成本仍有降低的空間。 　培育新動力需要供給側、需求側都給力 　在繼續推進改革的同時，張軍擴指出，經濟中的新動能還不夠強大，還不能對經濟穩定增長起到主力軍作用。 　在李偉看來，供給側結構性改革的根本目的，就在於通過改革完善體制機制，促進形成新的增長動力。 　李偉表示，一方面，一些新的經濟增長點往往誕生於實體經濟領域；另一方面，如果沒有實體經濟的充分發展，虛擬經濟也將難以健康發展，甚至會出現因為虛擬經濟的過度膨脹而危害整個發展的情形。 　“國際金融危機之後，發達國家紛紛推行“再工業化”和“再製造業化”戰略，就是對虛擬經濟脫離實體經濟而過度發展進行深刻反思後，做出的理性選擇。”李偉說。 　對於如何壯大實體經濟發展，李偉表示，要繼續擴大製造業總規模，壯大實體經濟。加快提升製造業產品品質，做優實體經濟；適應新技術革命蓄勢待發的大趨勢，提升實體經濟。 　李偉指出，供給側和需求側是相互聯繫、相互影響的，兩者共同發力，推動經濟持續發展。培育增長新動力，既需要從供給側發力，也要在需求側為實體經濟成長創造市場機會。 　他解釋說，企業的創新能力和市場競爭力是在生產經營過程中積累起來的。如果企業產品銷售不暢，長期處於產能過剩的狀態，企業的效率改進、技術創新、人力資本積累、生產設備升級、管理優化等都會受到嚴重影響。一些新的技術、新的產品、新的產業，如果沒有相應的市場需求，可能會被扼殺在搖籃中。 　在為實體經濟發展開闢市場需求上，李偉建議，要提高勞動報酬在國民收入分配中的占比，增大國內消費升級對產業升級的拉動作用。加快中西部地區的工業化和城鎮化步伐，增強中西部地區對國內產品的吸納能力。積極探索全球化背景下，為戰略性新興產業的發育和成長創造市場機會的途徑和方法。 　近期一些機構也發佈了對於中國大陸經濟的預判。在中金公司2017宏觀策略媒體會上，中金公司首席經濟學家梁紅表示，維持2016年實際GDP同比增速6.7%的預測，並將2017年實際GDP同比增速預測從6.7%調整至6.6%。同時，預計2017年名義GDP同比增速將從2016年的8.0%溫和上升至8.3%。 　對於明年的宏觀政策展望上，梁紅表示，短期內貨幣政策可能沒有寬鬆的空間，鑒於真實利率已經在經濟再通脹（尤其是房價上行）後明顯下降。 　精彩觀點1 　李偉認為，煤炭、鋼鐵行業的一些落後產能還未被真正淘汰，三四線城市房地產庫存規模依然很大，企業部門杠杆率還需要進一步下降，企業成本尚有進一步降低的空間，城市基礎設施和欠發達地區的基礎設施還需要大力建設。 　精彩觀點2 　李偉認為，一方面，一些新的經濟增長點往往誕生於實體經濟領域；另一方面，如果沒有實體經濟的充分發展，虛擬經濟也將難以健康發展，甚至會出現因為虛擬經濟的過度膨脹而危害整個發展的情形。 　精彩觀點3 　李偉認為，供給側和需求側是相互聯繫、相互影響的，兩者共同發力，推動經濟持續發展。培育增長新動力，既需要從供給側發力，也要在需求側為實體經濟成長創造市場機會。 【中央網路報】"
"2","絕食抗議砍7天假 勞團與警爆衝突"
"3","防美大選衝擊　國安基金5千億待命　"
"4","低溫宅配車廂溫度達35度 食安疑慮！"
"5","抗議刪7天假 勞團立院前絕食逾70小時"
"6","Sponsored"
"7","飯店最髒的地方曝光…太驚人"
"8","第1次進他房間 背著媽媽做…"
"9","童話世界成真～房子好像彩色積木"
"10","昆汀塔倫提諾再拍兩部就退休！"
