"","x"
"1","（中央社記者唐雅陵聖保羅7日專電）巴西環境部氣候變遷暨環境品質處長魯西羅今天表示，監察機關因欠缺經費和人力資源致行動不力，2015年巴西伐林面積擴大至超過6000公頃。"
"2","    魯西羅（Everton Lucero）指出，儘管預算和所需資源獲補給，光靠監督與稽查仍不足以紓緩伐林問題，必須營造重視森林資產價值的金融工具，讓依賴森林生活的人發展出屬於他們的經濟活動，且因此獲得報酬，讓森林成為可持續性的生財工具。"
"3","    為此，國際合作將是推動巴西森林保護計畫的基礎，而這也是巴西政府參加今起假摩洛哥馬拉喀什展開的聯合國氣候變化綱要公約第22屆締約方大會（COP22）的目的之一。"
"4","    魯西羅指出，巴西政府正在調整控制和預防森林砍伐政策，預定今年底前推出新1階段的「國家亞馬遜森林砍伐控制與預防計畫」，聚焦於較經濟層面的問題。"
"5","    多年來從事亞馬遜地區森林保護計畫研究的德國社會學家法圖爾（Thomas Fatheuer）認為，森林碳交易計畫只是將市場邏輯擴大至過去未列入市場資本體制中的領域，綠色經濟最終延續造成極端氣候變遷的都市化和工業化發展模式。"
"6","    法圖爾指出，德國汽車工業優先發展柴油技術，以達到減碳目標，結果製造更多污染，且未減少汽車產量。他相信，唯有強化參與的民主機制和根除貧窮及減少不平等的政策，才可以真正扭轉氣候變遷的圖景。"
"7","    通過碳交易鼓勵可持續性使用森林和森林碳儲量的「減少毀林和森林退化排放」（Redd）機制，也是環保學家和各國之間的爭議性話題。"
"8","    魯西羅指出，巴西政府反對通過Redd產生碳信用額的環境整合理論，因為在巴西維持碳存量的同時，允許其他國家繼續燃燒化石燃料排放二氧化碳，並不能解決全球性的環境汙染問題。"
"9","    亞馬遜環境研究所（Ipam）執行長季馬瑞斯（Andre Guimaraes）的立場則異於巴西政府，他認為，巴西為保護森林所做的努力應從國際市場獲利，而Redd應產生碳信用額，以補償碳排增長。"
"10","    巴西氣候觀察組織執行長瑞特（Carlos Hittl）指出，假如有受影響的居民參與整個過程，Redd機制可能更有效用，成為減排行動和政策的標的物。"
"11","    瑞特相信，社會參與與透明可以改變今日存在的掠奪性生產邏輯和土地衝突衍生的暴力，「巴西是近10年來，全世界捍衛生物多樣性和森林等環保人士死亡最多的國家，約佔總數的一半，通過對森林碳的關注，應可強化森林居民保護其領地和保障其生存權利的機會。」1051108"
"12","蔡阿嘎-嘎奇麥唬爛15（30分鐘就能織出圍巾?）"
"13","蔡阿嘎-嘎奇麥唬爛#15：吹風機10分鐘吹出水煮蛋?"
"14","奧客王蔡阿嘎來亂場。叫恁總ㄟ踹共 (蔡阿嘎X Yahoo奇摩拍賣)"
"15","30秒看完蔡阿嘎X Yahoo奇摩拍賣超人氣合作！"
"16","Sponsored"
"17","15軸雙臂機器人 大幅提升產能"
"18","旅展新科技！AR體驗尬座艙導覽搶客"
"19","遏止全球暖化 巴黎協定生效"
"20","通訊軟體 LINE"
"21","Sponsored"
"22","飯店最髒的地方曝光…太驚人"
"23","第1次進他房間 背著媽媽做…"
"24","童話世界成真～房子好像彩色積木"
"25","昆汀塔倫提諾再拍兩部就退休！"
