"","x"
"1","尼加拉瓜總統3連任成功 妻成副總統"
"2","（法新社尼加拉瓜首都馬納瓜7日電）    根據今天公布的選舉結果，尼加拉瓜左翼總統奧蒂嘉（Daniel Ortega）成功三連任，他向來以多彩裝扮亮相的妻子穆利優（Rosario Murillo）則將出任副總統。"
"3","    不過，反對陣營與美國紛紛譴責這場選舉。"
"4","    尼加拉瓜法院宣布，在99.8%已計算的選票中，70歲的前馬克斯主義叛軍領袖奧蒂嘉贏得72.5%的選票。"
"5","    最接近他的競爭者，偏右派的憲政自由黨（PLC）候選人羅德里格斯（Maximino Rodriguez），只拿到15%的票。（譯者：中央社許湘欣）"
"6","絕食抗議砍7天假 勞團與警爆衝突"
"7","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"8","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"9","蔡英文總統 新政權起步"
"10","Sponsored"
"11","飯店最髒的地方曝光…太驚人"
"12","第1次進他房間 背著媽媽做…"
"13","童話世界成真～房子好像彩色積木"
"14","昆汀塔倫提諾再拍兩部就退休！"
